CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD R-260H APU,,954,,902,,17.0,56.13,2,2017,BGA827 (FP2),Laptop
AMD E2-3200 APU,7.99,953,119.23,964,120.61,65.0,14.66,2,2011,FM1,Desktop
AMD Opteron 290,135.0,952,7.05,570,4.22,95.0,10.02,2,2009,940,Server
AMD Athlon 7750 Dual-Core,79.99,951,11.88,1034,12.93,95.0,10.01,2,2009,AM2+,Desktop
AMD Athlon 64 FX-62 Dual Core,375.0,943,2.51,1000,2.67,125.0,7.54,2,2009,AM2,Desktop
AMD Athlon X2 255,,938,,1095,,65.0,14.43,2,2012,AM2+/AM3,Unknown
AMD Athlon II X2 240,24.95,935,37.46,1027,41.18,65.0,14.38,2,2009,AM3,Desktop
AMD Phenom II P650 Dual-Core,35.0,933,26.66,985,28.14,35.0,26.66,2,2011,S1,Laptop
AMD Sempron X2 198 Dual-Core,,930,,1070,,65.0,14.31,2,2015,FM1,Desktop
AMD Athlon 64 X2 Dual Core 5600+,107.21,923,8.61,1027,9.58,89.0,10.37,2,2008,AM2,Desktop
AMD Turion II Ultra Dual-Core Mobile M600,16.76,923,55.1,982,58.6,35.0,26.38,2,2009,S1,Laptop
AMD E2-9030,,922,,906,,,,2,2019,BGA (FT4),Desktop
AMD Athlon X2 240,,921,,1017,,65.0,14.17,2,2009,unknown,Unknown
AMD Athlon 64 X2 Dual Core 6000+,38.5,919,23.87,1022,26.55,89.0,10.33,2,2008,AM2,Desktop
AMD Turion II Dual-Core Mobile M540,,912,,967,,35.0,26.05,2,2011,S1,Laptop
AMD Athlon 64 X2 Dual Core 5400+,52.99,910,17.16,1010,19.07,65.0,13.99,2,2008,AM2,Desktop
AMD Opteron 1218,,910,,962,,103.0,8.84,2,2010,AM2,Server
AMD Opteron 2220 SE,25.0,909,36.35,519,20.75,119.0,7.64,2,2009,F (1207),Server
AMD A4-9120e,,899,,783,,,,2,2019,FT4,Laptop
AMD Athlon II N370 Dual-Core,,899,,913,,35.0,25.67,2,2012,S1g4,Unknown
AMD A4-9120C,,894,,953,,6.0,148.93,2,2019,FT4,Laptop
AMD Turion II P540 Dual-Core,49.95,884,17.7,843,16.88,35.0,25.26,2,2010,S1,Laptop
AMD Phenom X2 Dual-Core GP-7730,,884,,1047,,,,2,2009,unknown,Unknown
AMD Sempron X2 190,83.44,879,10.53,977,11.71,45.0,19.53,2,2012,AM2+/AM3,Unknown
AMD Turion II N550 Dual-Core,,877,,891,,35.0,25.05,2,2011,S1,Laptop
AMD Athlon 5200 Dual-Core,89.0,869,9.77,915,10.28,75.0,11.59,2,2010,AM2,Desktop
AMD Athlon II X2 4450e,,867,,1066,,45.0,19.27,2,2010,AM2,Desktop
AMD Turion 64 X2 Mobile TL-68,90.0,861,9.56,887,9.85,35.0,24.59,2,2009,S1,Laptop
AMD Athlon 7550 Dual-Core,14.95,859,57.47,919,61.47,95.0,9.04,2,2009,AM2+,Desktop
AMD Turion II N530 Dual-Core,30.0,855,28.51,968,32.27,35.0,24.44,2,2010,S1,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-85,,841,,686,,35.0,24.03,2,2014,S1,Laptop
AMD Opteron 275,99.95,839,8.4,445,4.45,95.0,8.83,2,2008,940,Server
AMD Athlon Dual Core 5000B,95.0,835,8.79,935,9.84,65.0,12.84,2,2009,AM2,Desktop
AMD Athlon 5000 Dual-Core,109.95,835,7.59,892,8.11,65.0,12.84,2,2009,"AM2,AM2+",Desktop
AMD E2-9000e,,832,,725,,6.0,138.72,2,2017,unknown,Laptop
AMD Turion II Dual-Core Mobile M520,69.1,830,12.01,927,13.41,35.0,23.71,2,2009,S1,Laptop
AMD Athlon Dual Core 5400B,,826,,969,,65.0,12.71,2,2009,AM2,Desktop
AMD Sempron X2 180,69.4,826,11.9,865,12.47,45.0,18.35,2,2011,unknown,Unknown
AMD A4-4355M APU,,818,,828,,17.0,48.13,2,2012,FP2,Laptop
AMD Turion II P560 Dual-Core,,818,,931,,25.0,32.73,2,2011,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M620,,814,,945,,35.0,23.25,2,2010,S1,Laptop
AMD Athlon 64 X2 Dual Core 5200+,60.0,812,13.54,915,15.24,65.0,12.5,2,2008,AM2,Desktop
AMD Opteron 1214 HE,,806,,811,,65.0,12.4,2,2015,AM2,Server
AMD Athlon64 X2 Dual Core 4600+,,803,,755,,110.0,7.3,2,2009,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,29.95,797,26.6,1008,33.66,89.0,8.95,2,2009,unknown,Desktop
AMD Athlon Dual Core 5200B,,796,,953,,65.0,12.25,2,2009,AM2,Desktop
AMD A6-4455M APU,,795,,788,,17.0,46.79,1,2012,FP2,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,49.95,793,15.87,778,15.58,35.0,22.65,2,2009,S1,Laptop
AMD Turion II P520 Dual-Core,,790,,892,,25.0,31.62,2,2010,S1,Laptop
AMD Athlon 7450 Dual-Core,,789,,853,,95.0,8.31,2,2009,AM2+,Desktop
AMD Opteron 1216,54.85,781,14.23,810,14.78,103.0,7.58,2,2009,AM2,Server
AMD Opteron 1212 HE,,771,,731,,65.0,11.87,2,2012,AM2,Server
AMD A4-3310MX APU,,769,,822,,45.0,17.08,2,2011,FS1,Laptop
AMD Athlon II N350 Dual-Core,,767,,945,,35.0,21.91,2,2010,unknown,Unknown
AMD Opteron 280,280.72,765,2.72,430,1.53,95.0,8.05,2,2009,940,Server
AMD GX-217GA SOC,,762,,558,,15.0,50.83,2,2014,FT3 (769-BGA),Laptop
AMD Opteron 270,249.95,761,3.04,411,1.64,95.0,8.01,2,2012,940,Server
AMD Athlon 64 X2 Dual Core 5000+,331.49,760,2.29,882,2.66,65.0,11.69,2,2008,AM2,Desktop
AMD Turion II Dual-Core Mobile M500,,760,,866,,35.0,21.71,2,2009,S1,Laptop
AMD GX-218GL SOC,,754,,627,,15.0,50.27,2,2017,BGA769 (FT3b),Laptop
AMD A4-5150M APU,,753,,700,,35.0,21.51,2,2013,FS1r2,Laptop
