Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
603,AMD Opteron 144,CPU,2003-06-30,130.0,85.0,193.0,106.0,1800.0,Unknown,AMD,,,
604,Intel Pentium 4 HT 2.8E,CPU,2004-02-01,90.0,115.0,109.0,125.0,2800.0,Intel,Intel,,,
605,Intel Core i7-11700,CPU,2021-03-16,14.0,65.0,,,2500.0,Intel,Intel,,,
606,Intel Xeon Platinum 9221,CPU,2019-04-02,14.0,250.0,,8000.0,2100.0,Intel,Intel,,,
607,AMD EPYC 7H12,CPU,2019-09-18,7.0,280.0,74.0,3800.0,2600.0,TSMC,AMD,,,
608,Intel Core i5-9400F,CPU,2019-01-08,14.0,65.0,,,2900.0,Intel,Intel,,,
609,AMD Phenom II X2 B55,CPU,2009-10-01,45.0,80.0,258.0,758.0,3000.0,Unknown,AMD,,,
610,AMD Athlon 64 LE-1600,CPU,2007-10-08,90.0,45.0,3.0,154.0,2200.0,Unknown,AMD,,,
611,Intel Core i7-7820X,CPU,2017-06-26,14.0,140.0,,,3600.0,Intel,Intel,,,
612,AMD Opteron 148,CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
613,Intel Core i3-2328M,CPU,2012-09-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,,,
614,Intel Core i5-4690,CPU,2014-05-01,22.0,84.0,177.0,1400.0,3400.0,Intel,Intel,,,
615,Intel Core i9-10940X,CPU,2019-10-19,14.0,165.0,,,3300.0,Intel,Intel,,,
616,AMD Athlon II X3 450,CPU,2010-09-21,45.0,95.0,169.0,300.0,3200.0,Unknown,AMD,,,
617,Intel Xeon E3-1235,CPU,2011-04-03,32.0,95.0,216.0,1160.0,3200.0,Intel,Intel,,,
618,AMD Athlon 64 FX-76,CPU,2006-11-01,90.0,125.0,235.0,227.0,3200.0,Unknown,AMD,,,
619,Intel Xeon E5-2670 v2,CPU,2013-09-01,22.0,115.0,160.0,1400.0,2500.0,Intel,Intel,,,
620,Intel Atom E640,CPU,2010-09-14,45.0,3.0,26.0,47.0,1000.0,Intel,Intel,,,
621,AMD Athlon 950,CPU,2000-06-05,180.0,52.0,120.0,37.0,950.0,Unknown,AMD,,,
622,AMD Athlon X2 7850 BE,CPU,2009-04-28,65.0,95.0,285.0,450.0,2800.0,Unknown,AMD,,,
623,Intel Core 2 Extreme QX9300,CPU,2008-08-01,45.0,45.0,107.0,,2534.0,Intel,Intel,,,
624,AMD Sempron 2600+,CPU,2004-08-01,90.0,62.0,84.0,63.0,1600.0,Unknown,AMD,,,
625,Intel Xeon Phi 3110X,CPU,2012-11-12,22.0,300.0,350.0,5000.0,1053.0,Intel,Intel,,,
626,AMD EPYC 7702,CPU,2019-08-07,7.0,200.0,74.0,3800.0,2000.0,TSMC,AMD,,,
627,Intel Celeron G1620,CPU,2012-12-03,22.0,55.0,94.0,,2700.0,Intel,Intel,,,
628,Intel Core 2 Duo E8400,CPU,2008-01-01,45.0,65.0,104.0,410.0,3000.0,Intel,Intel,,,
629,Intel Xeon L5506,CPU,2009-03-30,45.0,60.0,263.0,731.0,2133.0,Intel,Intel,,,
630,AMD Athlon 64 3500+,CPU,2004-06-01,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
631,Intel Xeon Phi 5110P,CPU,2012-11-12,22.0,225.0,350.0,5000.0,1053.0,Intel,Intel,,,
632,Intel Core i3-4330T,CPU,2013-09-01,22.0,35.0,177.0,1400.0,3000.0,Intel,Intel,,,
633,AMD Ryzen 5 5600X,CPU,2020-11-05,7.0,65.0,,,3700.0,TSMC,AMD,,,
634,Intel Xeon Gold 5315Y,CPU,2021-04-06,10.0,140.0,,,3200.0,Intel,Intel,,,
635,AMD FX-8100,CPU,2011-10-12,32.0,95.0,315.0,1200.0,2800.0,Unknown,AMD,,,
636,AMD Ryzen Threadripper 1940,CPU,2017-07-29,14.0,180.0,213.0,9600.0,3200.0,GF,AMD,,,
637,Intel Xeon Phi 7120D,CPU,2014-03-01,22.0,270.0,350.0,5000.0,1238.0,Intel,Intel,,,
