CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Atom Z3735E,117.0,557,4.76,478,4.08,4.4,126.59,4,2014,UTFCBGA1380,Laptop
Intel Pentium E2140,79.95,549,6.87,605,7.56,65.0,8.45,2,2008,"LGA775, PLGA775",Desktop
Intel T1500,,548,,661,,,,2,2009,unknown,Unknown
Intel Celeron,,548,,611,,,,1,2013,unknown,Unknown
Intel Pentium T2390,,547,,641,,35.0,15.63,2,2009,PPGA478,Laptop
Intel Atom Z3735F,500.0,544,1.09,390,0.78,4.4,123.73,4,2014,UTFCBGA592,Laptop
Intel Core2 Duo T5450,,543,,581,,35.0,15.52,2,2009,PGA478,Laptop
Intel Celeron N2830,149.99,542,3.62,630,4.2,7.5,72.33,2,2014,FCBGA1170,Laptop
Intel Pentium U5400,,538,,503,,18.0,29.89,2,2010,BGA1288,Laptop
Intel Pentium T2330,149.95,536,3.57,572,3.82,35.0,15.31,2,2009,PPGA478,Laptop
Intel Celeron N2808,,532,,596,,4.5,118.17,2,2015,FCBGA1170,Laptop
Intel Atom C2350,43.0,532,12.38,496,11.53,6.0,88.7,2,2021,FCBGA1283,Server
Intel Core2 Duo T5470,,531,,606,,35.0,15.18,2,2009,PGA478,Laptop
Intel Core2 Duo T5670,,530,,635,,35.0,15.15,2,2009,Socket P,Laptop
Intel Celeron T1600,19.99,519,25.99,628,31.44,35.0,14.84,2,2009,unknown,Laptop
Intel Core2 Duo L7400,,516,,555,,17.0,30.32,2,2011,BGA479,Laptop
Intel T2050,,516,,611,,31.0,16.64,2,2012,PPGA478,Unknown
Intel Pentium T2310,,515,,557,,35.0,14.71,2,2008,PPGA478,Laptop
Intel Core2 Duo T5500,,513,,590,,34.0,15.08,2,2009,PGA478,Laptop
Intel Atom D2701,,511,,384,,10.0,51.14,2,2013,BGA559,Laptop
Intel Core2 Duo SU9400,,509,,588,,10.0,50.94,2,2009,BGA956,Laptop
Intel Atom Z3736F,,502,,419,,4.4,114.01,4,2014,UTFCBGA592,Laptop
Intel Core2 Duo U7300,,501,,533,,10.0,50.11,2,2009,BGA956,Laptop
Intel Pentium T2370,35.0,500,14.27,546,15.6,35.0,14.27,2,2008,PPGA478,Laptop
Intel Core Duo T2700,,498,,652,,31.0,16.07,2,2009,BGA479,Laptop
Intel Pentium D 940,,498,,574,,130.0,3.83,2,2008,PLGA775,Desktop
Intel Core2 Duo T5270,,496,,586,,35.0,14.17,2,2008,PGA478,Laptop
Intel Celeron G460,55.0,494,8.99,720,13.09,35.0,14.13,1,2012,LGA1155,Desktop
Intel Pentium D 830,,494,,550,,95.0,5.2,2,2008,PLGA775,Desktop
Intel Atom D2700,,492,,387,,10.0,49.22,2,2011,BGA559,Desktop
Intel Celeron E1200,99.95,492,4.93,628,6.28,65.0,7.58,2,2008,LGA775,Desktop
Intel Core2 Duo L7300,,489,,529,,17.0,28.74,2,2009,BGA479,Laptop
Intel Atom Z3770D,,488,,361,,4.4,110.84,4,2014,BGA1380,Laptop
Intel Celeron N3010,,486,,560,,4.0,121.5,2,2016,FCBGA1170,Laptop
Intel Celeron N2815,,486,,564,,7.5,64.84,2,2014,FCBGA1170,Laptop
Intel Core2 Duo U9300,,485,,542,,10.0,48.53,2,2009,BGA956,Laptop
Intel Core i3-330UM,,484,,339,,18.0,26.87,2,2010,BGA1288,Laptop
Intel Core2 Duo T5250,89.95,483,5.37,542,6.03,35.0,13.81,2,2008,PGA478,Laptop
Intel Celeron G465,40.0,480,12.0,739,18.49,35.0,13.71,1,2012,LGA1155,Desktop
Intel Celeron N2806,,479,,524,,4.5,106.48,2,2014,FCBGA1170,Laptop
Intel Xeon 3.20GHz,,478,,696,,103.0,4.64,1,2009,PPGA604,Server
Intel Pentium SU4100,,476,,515,,10.0,47.63,2,2009,BGA956,Laptop
Intel T1400,15.0,475,31.7,671,44.73,,,2,2009,unknown,Unknown
Intel Celeron U3400,,473,,441,,18.0,26.28,2,2010,BGA1288,Laptop
Intel Celeron 847,315.0,470,1.49,483,1.53,17.0,27.62,2,2011,BGA1023,Laptop
Intel Celeron N2820,225.0,469,2.09,583,2.59,7.5,62.58,2,2014,FCBGA1170,Laptop
Intel Pentium Extreme Edition 955,31.23,469,15.02,515,16.49,130.0,3.61,2,2009,PLGA775,Desktop
Intel Core2 Duo L7100,,467,,484,,,,2,2008,BGA956,Laptop
Intel Atom E3827,,460,,455,,8.0,57.51,2,2016,FCBGA1170,Laptop
Intel Core Duo T2600,,450,,667,,31.0,14.53,2,2009,BGA479,Laptop
Intel Celeron N2807,,450,,540,,4.3,104.63,2,2014,FCBGA1170,Laptop
Intel Celeron SU2300,,445,,500,,10.0,44.5,2,2009,BGA956,Laptop
Intel Celeron 450,38.99,445,11.41,613,15.73,35.0,12.71,1,2009,LGA775,Desktop
Intel Celeron 925,,444,,846,,35.0,12.67,1,2010,unknown,Laptop
Intel Core2 Duo T5200,,438,,575,,34.0,12.88,2,2009,Socket M,Laptop
Intel Atom D2560,,433,,353,,10.0,43.31,2,2013,unknown,Desktop
Intel Atom N2800,,429,,319,,6.5,66.06,2,2011,BGA559,Laptop
Intel Celeron G440,100.0,426,4.26,739,7.39,35.0,12.17,1,2012,LGA1155,Desktop
Intel Xeon 3.00GHz,,425,,607,,103.0,4.12,1,2009,PPGA604,Server
Intel Pentium D 915,,423,,508,,95.0,4.46,2,2008,PLGA775,Desktop
Intel Celeron N2810,139.99,420,3.0,512,3.66,7.5,55.98,2,2013,FCBGA1170,Laptop
Intel Celeron 900,18.99,409,21.52,851,44.8,34.8,11.74,1,2009,PGA478,Laptop
Intel Core Duo T2500,119.99,408,3.4,613,5.11,31.0,13.15,2,2009,BGA479,Laptop
Intel Atom D2550,,408,,311,,10.0,40.78,2,2012,BGA559,Desktop
Intel Core2 Duo U7500,,405,,425,,10.0,40.52,2,2009,BGA479,Laptop
Intel Core Duo L2500,,404,,578,,15.0,26.91,2,2009,BGA479,Laptop
Intel Atom D510,97.16,404,4.16,292,3.01,13.0,31.11,2,2010,BGA559,Desktop
Intel Core Duo T2450,,404,,603,,31.0,13.03,2,2009,PGA478,Laptop
Intel Xeon 3.60GHz,851.0,403,0.47,643,0.76,110.0,3.67,1,2009,PPGA604,Server
Intel Core i7-2630UM,,400,,221,,,,2,2013,unknown,Laptop
Intel Atom D525,,399,,310,,13.0,30.68,2,2010,BGA559,Desktop
Intel Xeon 3.80GHz,851.0,393,0.46,594,0.7,110.0,3.57,1,2009,PPGA604,Server
Intel Celeron 807,,392,,608,,17.0,23.05,1,2014,BGA-1023,Laptop
Intel Core Duo L2300,,387,,442,,15.0,25.81,2,2010,BGA479,Desktop
Intel Atom E3825,70.32,385,5.47,370,5.26,6.0,64.14,2,2014,FCBGA1170,Desktop
Intel Pentium 4 3.73GHz,,385,,572,,115.0,3.35,1,2009,unknown,Desktop
Intel Core Duo T2350,,384,,572,,31.0,12.39,2,2009,PGA478,Laptop
Intel Pentium T2130,,382,,583,,31.0,12.33,2,2009,PGA478,Laptop
Intel Xeon 3.40GHz,,375,,519,,103.0,3.64,1,2008,PPGA604,Server
Intel Pentium D 805,,374,,497,,95.0,3.93,2,2008,PLGA775,Desktop
Intel Celeron D 360,,372,,712,,65.0,5.72,1,2008,PLGA775,Desktop
Intel Atom 330,,371,,168,,8.0,46.43,2,2009,BGA437,Desktop
Intel Celeron 827E,,371,,674,,17.0,21.81,1,2012,FCBGA1023,Laptop
Intel Celeron 440,49.99,368,7.37,444,8.88,35.0,10.52,1,2009,LGA775,Desktop
Intel Celeron 560,69.95,365,5.21,498,7.12,31.0,11.76,1,2009,PGA478,Laptop
Intel Core Duo T2400,16.0,349,21.81,511,31.94,31.0,11.26,2,2009,BGA479,Laptop
Intel Core Duo L2400,,348,,501,,15.0,23.2,2,2009,BGA479,Laptop
Intel Pentium T2080,159.95,348,2.18,530,3.31,31.0,11.23,2,2008,PGA478,Laptop
Intel Core Duo T2250,,347,,529,,31.0,11.19,2,2009,PGA478,Laptop
Intel Core2 Duo U7700,,345,,345,,10.0,34.51,2,2008,unknown,Laptop
Intel Celeron 570,,344,,431,,31.0,11.09,1,2009,PGA478,Laptop
Mobile Intel Pentium 4 3.33GHz,,344,,552,,,,1,2009,unknown,Laptop
Intel 2.80GHz,,341,,456,,,,2,2019,unknown,Unknown
Intel Atom N570,86.0,335,3.89,282,3.28,8.5,39.4,2,2011,BGA559,Laptop
Intel Celeron N2805,,335,,394,,4.3,77.9,2,2013,FCBGA1170,Laptop
Intel Core Duo T2300,,330,,519,,31.0,10.65,2,2009,BGA479,Laptop
Intel Pentium T2060,,330,,490,,31.0,10.65,2,2008,PGA478,Laptop
Intel Pentium 4 3.20GHz,,326,,561,,82.0,3.97,1,2008,PGA478,Desktop
Intel Atom N2600,,323,,292,,3.5,92.35,2,2012,BGA559,Laptop
Intel Core Duo T2050,,320,,493,,31.0,10.32,2,2008,PGA478,Desktop
Intel Core2 Duo U7600,,316,,427,,10.0,31.6,2,2009,BGA479,Laptop
Intel Pentium 4 3.60GHz,,315,,447,,115.0,2.74,1,2008,unknown,Desktop
Intel Celeron D 420,,313,,388,,35.0,8.95,1,2011,LGA775,Desktop
Intel Pentium 4 3.00GHz,,313,,549,,81.9,3.82,1,2008,PGA478,Desktop
Intel Pentium 4 3.80GHz,,313,,596,,65.0,4.81,1,2008,unknown,Desktop
Intel Celeron M 530,,307,,553,,30.0,10.25,1,2009,"PBGA479, PPGA478",Laptop
Intel Atom E3826,,304,,395,,7.0,43.45,2,2016,FCBGA1170,Laptop
Intel Celeron 550,54.95,301,5.47,613,11.16,31.0,9.7,1,2009,BGA479,Laptop
Intel Atom Z2760,,298,,206,,,,2,2012,FC-MB4760,Laptop
Intel Pentium 4 3.46GHz,,295,,512,,110.7,2.67,1,2009,unknown,Desktop
Intel Celeron 430,49.99,293,5.86,630,12.59,35.0,8.37,1,2009,LGA775,Desktop
Intel Pentium 4 3.40GHz,,293,,667,,89.0,3.29,1,2008,PGA478,Desktop
Intel Pentium M 2.10GHz,,292,,353,,21.0,13.89,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Celeron 540,20.95,283,13.5,496,23.65,30.0,9.43,1,2009,PGA478,Laptop
Intel Celeron D 352,,283,,674,,86.0,3.29,1,2009,PLGA775,Desktop
Intel Pentium M 1.80GHz,,280,,389,,21.0,13.36,1,2008,"H-PBGA479, PPGA4",Laptop
Intel Atom D2500,,275,,346,,10.0,27.46,2,2012,BGA559,Desktop
Intel Pentium M 2.13GHz,,271,,354,,27.0,10.02,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 2.00GHz,,270,,363,,21.0,12.87,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Celeron 743,,268,,529,,10.0,26.78,1,2009,BGA956,Laptop
Intel Celeron 530,13.0,268,20.62,468,35.97,27.0,9.93,1,2009,PGA478,Laptop
Intel Celeron M 723,,267,,507,,10.0,26.71,1,2009,BGA956,Laptop
Intel Celeron 3.20GHz,,267,,599,,,,1,2009,unknown,Unknown
Intel Atom N550,86.0,265,3.08,243,2.82,8.5,31.16,2,2010,BGA559,Laptop
Intel Celeron 3.33GHz,,263,,528,,,,1,2009,unknown,Unknown
Intel Xeon 2.80GHz,,260,,384,,103.0,2.52,1,2008,PPGA604,Server
Intel Core Duo U2400,,255,,342,,9.0,28.28,2,2009,BGA479,Laptop
Intel Core Solo T1400,,253,,525,,27.0,9.37,1,2009,PGA478,Laptop
Intel Core2 Solo U3500,,252,,546,,5.5,45.8,1,2009,BGA956,Laptop
Intel Celeron M 1.70GHz,,252,,370,,,,1,2009,unknown,Laptop
Intel Celeron D 356,,251,,619,,86.0,2.92,1,2009,PLGA775,Desktop
Intel Pentium 4 3.06GHz,,249,,551,,81.8,3.04,1,2009,PGA478,Desktop
Intel Celeron 807UE,,241,,421,,10.0,24.06,1,2013,BGA-1023,Laptop
Intel Pentium M 1.50GHz,,240,,323,,24.5,9.8,1,2009,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.70GHz,,239,,318,,24.5,9.77,1,2008,"H-PBGA479, PPG",Laptop
Intel Pentium SU2700,,239,,432,,10.0,23.87,1,2009,unknown,Laptop
Intel Pentium M 1.86GHz,,238,,460,,27.0,8.82,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1700MHz,,237,,361,,24.5,9.69,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium 4 2.80GHz,,236,,506,,69.7,3.39,1,2008,PGA478,Desktop
Intel Celeron 420,49.95,235,4.71,471,9.43,35.0,6.72,1,2009,LGA775,Desktop
Intel Celeron 3.06GHz,,234,,514,,,,1,2009,unknown,Unknown
Intel Core2 Solo U2100,,233,,258,,5.5,42.43,1,2009,unknown,Laptop
Mobile Intel Pentium 4 3.20GHz,,232,,468,,82.0,2.83,1,2009,PGA478,Desktop
Intel Celeron D 347,,232,,565,,86.0,2.7,1,2008,PLGA775,Desktop
Intel Celeron M 450,,230,,598,,27.0,8.51,1,2009,PPGA478,Laptop
Intel Celeron 2.93GHz,,230,,396,,,,1,2009,unknown,Unknown
Intel Pentium M 1.60GHz,,229,,307,,24.5,9.36,1,2008,"H-PBGA479, PPG",Laptop
Intel Pentium M 2.26GHz,,227,,508,,27.0,8.41,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1.40GHz,,225,,264,,22.0,10.21,1,2008,"H-PBGA479, PPG",Laptop
Intel Atom N470,,224,,308,,6.5,34.4,1,2010,BGA559,Laptop
Intel Atom D425,992.98,222,0.22,320,0.32,10.0,22.2,1,2011,BGA559,Desktop
Intel Celeron M 360 1.40GHz,,221,,305,,21.0,10.53,1,2008,"H-PBGA479, PPGA4",Laptop
Intel Core Duo U2500,,220,,362,,9.0,24.48,2,2009,BGA479,Laptop
Mobile Intel Pentium 4 3.06GHz,,220,,423,,81.8,2.68,1,2009,PGA478,Desktop
Intel Celeron M 1500MHz,,217,,297,,,,1,2009,unknown,Laptop
Intel Celeron M 1.50GHz,,216,,280,,21.0,10.27,1,2009,"PPGA478, H-PBGA4",Laptop
Intel Pentium 4 2.60GHz,,215,,494,,69.0,3.11,1,2008,PGA478,Desktop
Intel Celeron M 520,,215,,522,,30.0,7.16,1,2008,PPGA478,Laptop
Intel Celeron 723,,213,,460,,10.0,21.31,1,2009,BGA956,Laptop
Intel Atom 230,,210,,167,,4.0,52.61,1,2009,BGA437,Desktop
Intel Core Solo T1300,,210,,518,,27.0,7.78,1,2009,PGA478,Laptop
Intel Celeron 220,,209,,255,,19.0,10.97,1,2009,BGA479,Desktop
Intel Pentium M 1400MHz,,208,,282,,22.0,9.46,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Celeron 2.53GHz,,208,,370,,,,1,2008,unknown,Unknown
Intel Pentium M 1.73GHz,,205,,494,,27.0,7.58,1,2009,"H-PBGA479, PPGA4",Laptop
Mobile Intel Pentium 4 2.80GHz,,205,,397,,69.7,2.94,1,2009,PGA478,Desktop
Intel Celeron M 1.30GHz,,205,,284,,,,1,2009,unknown,Laptop
Intel Pentium M 1.20GHz,,199,,262,,,,1,2008,unknown,Unknown
Intel Pentium M 1300MHz,,197,,271,,22.0,8.98,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Celeron M 1300MHz,,197,,274,,,,1,2009,unknown,Laptop
Intel Pentium M 1.30GHz,,196,,250,,22.0,8.91,1,2009,"H-PBGA479, PPG",Laptop
Intel Pentium III 1400S @ 1400MHz,,194,,278,,32.2,6.04,1,2009,Socket 370,Desktop
Intel Core Solo T1350,,194,,413,,31.0,6.26,1,2009,unknown,Laptop
Intel Pentium M 1600MHz,,193,,313,,24.5,7.86,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium III 1400 @ 1400MHz,,193,,272,,31.2,6.19,1,2009,Socket 370,Desktop
Intel Celeron 2.80GHz,,190,,425,,68.4,2.78,1,2008,PPGA478,Desktop
Intel Celeron M 1.60GHz,,190,,433,,,,1,2009,unknown,Laptop
Intel Atom N2100,,188,,310,,,,1,2012,BGA559,Laptop
Intel Pentium M 1500MHz,,188,,251,,24.5,7.65,1,2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1.10GHz,,184,,218,,,,1,2009,unknown,Unknown
Intel Atom Z530,,183,,161,,2.0,91.43,1,2009,BGA441,Laptop
Mobile Intel Celeron 1333MHz,,183,,248,,,,1,2010,unknown,Laptop
Mobile Intel Pentium 4 2.66GHz,,182,,425,,66.1,2.75,1,2009,PGA478,Desktop
Intel Celeron 2.26GHz,,182,,382,,,,1,2009,unknown,Unknown
Intel Xeon 2.40GHz,9.1,180,19.73,387,42.52,,,1,2009,unknown,Server
Intel Atom N455,,179,,257,,6.5,27.47,1,2010,BGA559,Laptop
Intel Atom N475,,179,,281,,6.5,27.61,1,2010,BGA559,Laptop
Intel Atom N450,,177,,270,,5.5,32.16,1,2010,BGA559,Laptop
Intel Atom D410,635.99,177,0.28,254,0.4,10.0,17.7,1,2010,BGA559,Desktop
Intel Atom N270,,175,,164,,2.5,70.05,1,2009,BGA437,Laptop
Intel Atom N280,,175,,226,,2.5,69.92,1,2009,BGA437,Laptop
Intel Celeron 215,,174,,440,,27.0,6.43,1,2009,BGA479,Laptop
Intel Celeron M 440,,169,,485,,27.0,6.28,1,2008,"PBGA479, PPGA478",Laptop
Intel Celeron M 430,,169,,466,,27.0,6.26,1,2009,PPGA478,Laptop
Intel Celeron 2.13GHz,,166,,361,,,,1,2009,unknown,Unknown
Intel Core Solo U1500,,164,,375,,5.5,29.77,1,2009,unknown,Laptop
Intel Pentium III Mobile 1133MHz,,164,,218,,,,1,2009,unknown,Laptop
Intel XEON 2.20GHz,,164,,351,,,,1,2009,unknown,Server
Intel Celeron 2.50GHz,,164,,431,,,,1,2009,unknown,Unknown
Intel Pentium 4 2.53GHz,,162,,442,,61.5,2.64,1,2009,PGA478,Desktop
Intel Pentium 4 2.50GHz,,160,,385,,61.0,2.62,1,2009,PGA478,Desktop
Intel Pentium III Mobile 1066MHz,,160,,210,,,,1,2009,unknown,Laptop
Intel Atom E3815,135.0,159,1.17,238,1.76,5.0,31.7,1,2014,FCBGA1170,Desktop
Intel Celeron 1200MHz,,159,,212,,,,1,2009,unknown,Unknown
Intel Celeron 2.70GHz,,159,,386,,,,1,2009,unknown,Unknown
Intel Atom Z670,,158,,95,,3.0,52.81,1,2011,BGA518,Laptop
Intel Pentium 4 2.20GHz,,157,,379,,57.1,2.76,1,2009,PGA478,Desktop
Intel Pentium 4 2.66GHz,,157,,431,,66.1,2.38,1,2009,PGA478,Desktop
Intel Pentium M 1000MHz,,156,,222,,7.0,22.22,1,2009,unknown,Laptop
Intel Pentium III Mobile 1200MHz,,156,,216,,,,1,2009,unknown,Laptop
Intel Pentium M 1200MHz,,155,,166,,12.0,12.88,1,2009,unknown,Laptop
Intel Pentium 4 3.83GHz,,154,,237,,,,1,2018,unknown,Desktop
Mobile Intel Celeron 2.40GHz,,154,,376,,,,1,2009,unknown,Laptop
Intel Celeron 2.66GHz,,154,,417,,,,1,2009,unknown,Unknown
Intel Atom N435,,153,,220,,,,1,2011,unknown,Unknown
Intel Xeon 2.00GHz,,152,,259,,,,1,2009,unknown,Server
Intel Pentium 4 2.26GHz,,151,,409,,58.0,2.6,1,2009,PGA478,Desktop
Intel Pentium 4 2.93GHz,,150,,269,,,,1,2009,unknown,Desktop
Intel Celeron M 1.00GHz,13.99,149,10.65,197,14.12,,,1,2009,unknown,Laptop
Intel Celeron 2.30GHz,,148,,364,,,,1,2009,unknown,Unknown
Mobile Intel Celeron 2.20GHz,,147,,355,,,,1,2009,unknown,Laptop
Mobile Intel Pentium III - M 1200MHz,,146,,185,,22.0,6.63,1,2009,"BGA2, microPGA2",Laptop
Mobile Intel Pentium 4 - M 2.20GHz,,143,,388,,,,1,2009,unknown,Laptop
Intel Celeron 2.40GHz,,143,,397,,,,1,2008,unknown,Unknown
Intel Celeron 2.60GHz,,143,,353,,,,1,2009,unknown,Unknown
Intel Pentium M 900MHz,,141,,200,,7.0,20.19,1,2009,unknown,Laptop
Intel Celeron M 420,,139,,391,,27.0,5.14,1,2009,PPGA478,Laptop
Mobile Intel Pentium 4 - M 2.40GHz,,139,,317,,,,1,2009,unknown,Laptop
Intel Celeron 1000MHz,,139,,174,,,,1,2009,unknown,Unknown
Intel Celeron 2.20GHz,,139,,349,,,,1,2009,unknown,Unknown
Mobile Intel Pentium 4 - M 2.00GHz,,138,,345,,,,1,2009,unknown,Laptop
Intel Pentium 4 Mobile 1.90GHz,,136,,282,,,,1,2009,unknown,Laptop
Intel Pentium 4 2.00GHz,,133,,349,,54.3,2.45,1,2009,PGA478,Desktop
Mobile Intel Celeron 2.00GHz,,133,,290,,,,1,2009,unknown,Laptop
Intel Pentium 4 Mobile 2.00GHz,,132,,310,,,,1,2009,unknown,Laptop
Intel Pentium 4 2.40GHz,,131,,360,,59.8,2.2,1,2008,PGA478,Desktop
Mobile Intel Pentium III - M 933MHz,,130,,177,,20.1,6.47,1,2009,"BGA2, microPGA2",Laptop
Intel Core Solo U1400,,130,,365,,5.5,23.68,1,2009,PBGA479,Laptop
Intel Core Solo U1300,,127,,340,,6.0,21.21,1,2009,PBGA479,Laptop
Intel Celeron M 443,,125,,288,,5.5,22.82,1,2009,PBGA479,Laptop
Intel Celeron 2.00GHz,,125,,338,,52.8,2.36,1,2009,PPGA478,Desktop
Intel Celeron M 410,,123,,301,,27.0,4.55,1,2009,PPGA478,Laptop
Intel Celeron M 900MHz,,123,,155,,,,1,2009,unknown,Laptop
Intel Atom Z520,,122,,151,,2.0,61.23,1,2009,BGA441,Laptop
Mobile Intel Celeron 1.80GHz,,121,,280,,66.1,1.83,1,2009,PPGA478,Laptop
Mobile Intel Pentium 4 - M 1.70GHz,175.0,121,0.69,297,1.69,,,1,2009,unknown,Laptop
Intel Pentium III Mobile 800MHz,,119,,155,,,,1,2009,unknown,Laptop
Mobile Intel Pentium 4 - M 1.80GHz,,119,,297,,,,1,2009,unknown,Laptop
Mobile Intel Celeron 1.70GHz,,118,,254,,,,1,2009,unknown,Laptop
Intel Pentium 4 Mobile 1.60GHz,,116,,254,,,,1,2009,unknown,Laptop
Intel Pentium 4 1.80GHz,,115,,318,,68.1,1.68,1,2008,PGA478,Desktop
Intel Pentium 4 1800MHz,,114,,317,,68.1,1.67,1,2009,PGA478,Desktop
Intel Pentium 4 Mobile 1.80GHz,,114,,195,,,,1,2009,unknown,Laptop
Intel Celeron 1100MHz,15.0,113,7.55,183,12.17,,,1,2009,unknown,Unknown
Intel Celeron B710,,106,,101,,35.0,3.02,1,2015,rPGA988B,Laptop
Intel Pentium 4 1.90GHz,,104,,292,,69.2,1.5,1,2009,PGA423,Desktop
Intel Celeron 1.70GHz,,101,,190,,,,1,2009,unknown,Unknown
Intel Pentium 4 1700MHz,,100,,266,,64.0,1.57,1,2009,PGA423,Desktop
Intel Pentium III Mobile 866MHz,,99,,132,,,,1,2009,unknown,Laptop
Intel Celeron 1.80GHz,,96,,307,,66.1,1.45,1,2009,PPGA478,Desktop
Intel Pentium 4 1.50GHz,,86,,228,,57.8,1.48,1,2009,PGA423,Desktop
Intel Pentium 4 1.70GHz,,86,,254,,64.0,1.35,1,2009,PGA423,Desktop
Intel Pentium 4 1.60GHz,,84,,225,,38.0,2.22,1,2009,PGA478,Desktop
Intel Pentium 4 1400MHz,,83,,180,,54.7,1.52,1,2009,PGA423,Desktop
Intel Pentium 4 1500MHz,,81,,223,,57.8,1.41,1,2009,PGA423,Desktop
Intel Pentium 4 1300MHz,,77,,203,,51.6,1.5,1,2009,PGA423,Desktop
