CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core2 Duo T9400,44.95,941,20.93,1016,22.61,35.0,26.88,2,2009,BGA479,Laptop
Intel Core2 Duo P8800,56.99,940,16.49,1087,19.07,25.0,37.59,2,2009,BGA479,Laptop
Intel Core2 Duo T9300,94.95,940,9.9,1020,10.74,35.0,26.86,2,2008,BGA479,Laptop
Intel Xeon 3060,22.99,939,40.84,942,40.96,65.0,14.44,2,2009,LGA775,Server
Intel Core2 Duo T9550,298.95,937,3.13,1035,3.46,35.0,26.77,2,2009,BGA479,Laptop
Intel Pentium E5400,92.76,936,10.09,1074,11.58,65.0,14.4,2,2009,LGA775,Desktop
Intel Celeron E3500,21.0,935,44.54,1154,54.93,65.0,14.39,2,2011,LGA775,Desktop
Intel Celeron B840,,930,,901,,35.0,26.56,2,2011,PGA988B,Laptop
Intel Xeon L3406,265.19,928,3.5,647,2.44,30.0,30.94,2,2010,LGA1156,Server
Intel Celeron 3205U,287.04,918,3.2,879,3.06,15.0,61.19,2,2015,FCBGA1168,Laptop
Intel Celeron N2920,,918,,549,,7.5,122.4,4,2014,FCBGA1170,Laptop
Intel Xeon 5148,20.0,912,45.62,868,43.39,40.0,22.81,2,2010,LGA771,Server
Intel Pentium B960,38.68,910,23.53,941,24.32,35.0,26,2,2012,PGA988,Laptop
Intel Core2 Duo P9300,,909,,855,,,,2,2009,unknown,Laptop
Intel Atom x5-Z8350,21.0,909,43.29,482,22.97,4.0,227.26,4,2016,UTFCBGA592,Laptop
Intel Core2 Duo T8300,108.95,906,8.32,996,9.14,35.0,25.9,2,2008,BGA479,Laptop
Intel Pentium E5300,59.49,906,15.22,1032,17.34,65.0,13.93,2,2009,LGA775,Desktop
Intel Core i5-520UM,,902,,759,,18.0,50.14,2,2010,BGA1288,Laptop
Intel Core2 Duo E6600,35.09,901,25.68,953,27.17,65.0,13.86,2,2008,PLGA775,Desktop
Intel Xeon 3.73GHz,,901,,734,,,,2,2009,unknown,Server
Intel Pentium G620T,19.99,896,44.84,961,48.05,35.0,25.61,2,2011,LGA1155,Desktop
Intel Core i3-2375M,,894,,684,,17.0,52.57,2,2013,BGA1023,Laptop
Intel Core2 Duo L9600,,892,,914,,17.0,52.46,2,2009,BGA956,Laptop
Intel Celeron 1017U,,888,,821,,17.0,52.24,2,2013,FCBGA1023,Laptop
Intel Xeon 5133,,887,,838,,40.0,22.18,2,2013,LGA771,Server
Intel Atom x5-E3930,,878,,617,,6.5,135.01,2,2017,BGA1296,Laptop
Intel Pentium N3510,,878,,534,,7.5,117.1,4,2013,FCBGA1170,Laptop
