Product,cpuName
AMD Ryzen 7 2700,Intel Core i9-10880H @ 2.30GHz
Intel Core i7-9700KF,AMD Ryzen 7 PRO 2700
Intel Celeron 2.30,Intel Xeon E5-2660 v4 @ 2.00GHz
AMD Athlon 750,Intel Xeon Silver 4210R @ 2.40GHz
AMD Sempron 150,Intel Core i7-10870H @ 2.20GHz
AMD Athlon 1200,AMD EPYC 7301
Intel Core 2 Duo T7600G,Intel Core i3-12300
Intel Core i5-8420,AMD EPYC 7251
Intel Core i7-3970X,Intel Xeon Silver 4116 @ 2.10GHz
AMD Mobile Athlon 64 3400+,Intel Xeon W-1250P @ 4.10GHz
AMD Opteron 6168,Intel Xeon E5-2699A v4 @ 2.40GHz
AMD Athlon X2 QL-65,Intel Xeon E5-2658A v3 @ 2.20GHz
AMD Athlon XP 2800+ DTR,Intel Xeon E5-2683 v3 @ 2.00GHz
Intel Atom E660,Intel Xeon E5-1681 v3 @ 2.90GHz
Intel Core i5-3475S,Intel Xeon E5-2687W v3 @ 3.10GHz
AMD C-50,AMD Ryzen 5 PRO 4400GE
AMD Athlon 64 FX-74,AMD Ryzen 5 4600HS
Intel Atom N280,AMD Ryzen 5 4600H
AMD Turion 64 ML-40,Intel Core i9-9980HK @ 2.40GHz
Intel Celeron 2.80,Apple M1 8 Core 3200 MHz
Intel Pentium G630T,Intel Xeon E5-2678 v3 @ 2.50GHz
AMD Phenom II X3 B73,AMD Ryzen 7 2700E
AMD Ryzen 3 1300X,AMD Ryzen 7 1700
Intel Pentium M 715,AMD Ryzen 7 PRO 1700
Intel Xeon 5150,Intel Core i5-10600KF @ 4.10GHz
Intel Pentium D 840 EE,Intel Core i7-9700K @ 3.60GHz
AMD Athlon X2 4050e,Intel Core i7-8086K @ 4.00GHz
Intel Core i7-4790S,Intel Xeon E5-2676 v3 @ 2.40GHz
AMD Ryzen 5 PRO 3500U,Intel Core i5-10600K @ 4.10GHz
Intel Xeon E3-1280,Intel Core i3-12100
Intel Core 2 Duo U7600,Intel Core i7-9700KF @ 3.60GHz
AMD Athlon XP 2400+,Intel Core i3-12100F
AMD E1-2100,Intel Xeon Silver 4215 @ 2.50GHz
AMD EPYC 7401P,Intel Xeon E5-2658 v4 @ 2.30GHz
Intel Core i5-1135G7,Intel Xeon Silver 4123 @ 3.00GHz
AMD Turion X2 Ultra ZM-87,Intel Xeon E-2286G @ 4.00GHz
Intel Xeon 7140M,Intel Xeon W-2235 @ 3.80GHz
Intel Xeon E5-2650 v2,Intel Xeon E-2236 @ 3.40GHz
Intel Atom Z620,Intel Core i7-6900K @ 3.20GHz
Intel Xeon 2.0,Intel Xeon Silver 4210 @ 2.20GHz
AMD Phenom II X3 705e,Intel Xeon Gold 6128 @ 3.40GHz
Intel Pentium 4 511,Intel Xeon E5-4660 v3 @ 2.10GHz
AMD Athlon XP 3000+,AMD Ryzen 5 PRO 5675U
AMD Phenom II X3 700e,Intel Xeon E5-2697 v2 @ 2.70GHz
AMD Opteron 842,Intel Xeon E5-2696 v2 @ 2.50GHz
AMD Sempron 3000+,Intel Xeon E5-1680 v4 @ 3.40GHz
Intel Pentium 4 1.8A,Intel Xeon E5-2673 v3 @ 2.40GHz
Intel Core i5-8500T,Intel Xeon W-2135 @ 3.70GHz
AMD Opteron X2 270 HE,Intel Xeon E-2374G @ 3.70GHz
Intel Xeon 7110M,AMD Ryzen 5 2600X
AMD FX-8140,Intel Xeon E-2246G @ 3.60GHz
Intel Atom D2550,Intel Core i9-9880H @ 2.30GHz
Intel Celeron G3920,AMD Ryzen 3 PRO 5350G
AMD Ryzen 5 3400G,AMD EPYC 3251
Intel Core i3-8145U,Intel Core i9-9900T @ 2.10GHz
AMD Athlon 64 X2 6000+,Intel Core i5-10600 @ 3.30GHz
AMD Ryzen 3 PRO 4350GE,Intel Xeon E5-2670 v3 @ 2.30GHz
Intel Core 2 Duo E6600,Intel Xeon E-2186G @ 3.80GHz
AMD EPYC 7272,Intel Core i7-8700K @ 3.70GHz
Intel Core i3-8350K,Intel Xeon E5-2667 v4 @ 3.20GHz
AMD Athlon 64 LE-1660,AMD Ryzen 3 5300GE
Intel Pentium SU4100,Intel Core i5-11500T @ 1.50GHz
AMD Athlon 64 2800+,Intel Xeon W-1250 @ 3.30GHz
AMD Turion X2 Ultra ZM-88,AMD Ryzen 3 PRO 5350GE
Intel Pentium M 765,AMD Ryzen 7 4700U
Intel Core i3-350M,Intel Xeon E-2176G @ 3.70GHz
Intel Xeon Platinum 8352V,Intel Xeon W-1270TE @ 2.00GHz
AMD Ryzen 5 5600G,Intel Xeon E5-2695 v2 @ 2.40GHz
AMD Phenom X3 8400,Intel Xeon E5-2650 v4 @ 2.20GHz
Intel Core i5-7500T,Intel Xeon E5-2658 v3 @ 2.20GHz
Intel Core i7-8550U,Intel Xeon E5-2690 v2 @ 3.00GHz
AMD Ryzen Threadripper 1920X,Intel Core i7-9700F @ 3.00GHz
Intel Core i5-1035G1,AMD Ryzen 5 4600U
Intel Celeron N2930,Intel Core i7-9700 @ 3.00GHz
Intel Pentium 4 2.4,Intel Xeon E-2276G @ 3.80GHz
AMD EPYC 7551P,Intel Xeon E-2136 @ 3.30GHz
AMD Athlon XP-M 2000+,Intel Xeon E-2146G @ 3.50GHz
Intel Core i3-2102,Intel Xeon E5-1660 v4 @ 3.20GHz
AMD Ryzen 7 4700GE,AMD Ryzen 5 3500X
AMD A6-3400M,AMD Ryzen 5 PRO 2600
AMD EPYC 7451,Intel Xeon E5-1680 v3 @ 3.20GHz
Intel Atom Z510PT,AMD Ryzen 5 2600
AMD Ryzen 7 PRO 3700U,AMD Ryzen 5 5500U
AMD Athlon 64 X2 5200+,Intel Xeon E-2334 @ 3.40GHz
AMD Athlon 64 X2 4200+,Intel Xeon Silver 4114 @ 2.20GHz
Intel Pentium 4 HT 641,Intel Xeon E5-2660 v3 @ 2.60GHz
Intel Core M-5Y10a,AMD Ryzen 3 5300G
AMD Athlon II X2 260,Intel Core i7-10700T @ 2.00GHz
Intel Pentium 4 HT 524,Intel Xeon D-2143IT @ 2.20GHz
AMD Opteron 840,Intel Core i5-11400T @ 1.30GHz
AMD Athlon 64 X2 4600+,Intel Core i5-10500 @ 3.10GHz
Intel Pentium 4-M 1.60,Intel Core i7-8700 @ 3.20GHz
Intel Pentium M 780,Intel Xeon E5-4627 v4 @ 2.60GHz
AMD A8-3850,Intel Xeon W-10855M @ 2.80GHz
Intel Celeron G540T,Intel Xeon E5-2685 v3 @ 2.60GHz
AMD Opteron 240 EE,AMD Ryzen 5 1600X
AMD Opteron 3380,AMD Ryzen 5 PRO 4650U
Intel Core i7-640M,Intel Core i7-7800X @ 3.50GHz
Intel Xeon E5-2403 v2,AMD Ryzen 5 3500
Intel Pentium G640,Intel Xeon E5-2618L v4 @ 2.20GHz
Intel Core 2 Duo U7500,Intel Core i3-12100T
Intel Xeon E3-1230,AMD Ryzen 3 3300X
Intel Pentium Dual-Core E2160,Intel Core i7-5960X @ 3.00GHz
Intel Pentium 997,Intel Xeon E5-2680 v2 @ 2.80GHz
Intel Xeon Phi 7295,Intel Xeon E5-1680 v2 @ 3.00GHz
AMD Athlon II X3 440,Intel Xeon E5-4657L v2 @ 2.40GHz
AMD Phenom II X6 1055T (125W),Intel Core i5-10400F @ 2.90GHz
Intel Core i7-9750H,Intel Xeon W-2133 @ 3.60GHz
AMD Ryzen 3 PRO 1300,Intel Xeon E5-2649 v3 @ 2.30GHz
Intel Core i5-3470S,Intel Core i7-11375H @ 3.30GHz
AMD Sempron 3100+,Intel Xeon E5-1660 v3 @ 3.00GHz
Intel Xeon 5148,Intel Core i7-10750H @ 2.60GHz
AMD Athlon XP-M 3000+,Intel Xeon E5-2667 v3 @ 3.20GHz
Intel Core i5-7640X,Intel Core i7-1265U
AMD Sempron 2600+,Intel Core i5-10400 @ 2.90GHz
AMD FX-8320E,AMD Ryzen 5 1600
AMD Athlon X2 5050e,Intel Core i7-8700B @ 3.20GHz
AMD Ryzen 5 PRO 2500U,Intel Core i7-9700E @ 2.60GHz
Intel Core i5-4690K,AMD Ryzen 3 PRO 5475U
Intel Core i7-4850EQ,Intel Xeon E5-2667 v2 @ 3.30GHz
AMD EPYC 7301,Intel Core i5-10505 @ 3.20GHz
AMD EPYC 7551,Intel Xeon D-2141I @ 2.20GHz
Intel Core i5-4440,Intel Core i7-10850H @ 2.70GHz
Intel Pentium G3460,Intel Xeon E5-2692 v2 @ 2.20GHz
Intel Celeron G5900,Intel Core i7-11370H @ 3.30GHz
AMD Athlon 1300,Intel Xeon E5-2687W v2 @ 3.40GHz
Intel Xeon Phi 7210F,AMD Ryzen 5 PRO 4500U
Intel Core 2 Duo U7700,Intel Xeon E-2278GEL @ 2.00GHz
Intel Xeon E7-8860,Intel Xeon E5-2675 v3 @ 1.80GHz
AMD Opteron 2350 HE,Intel Xeon E5-2640 v4 @ 2.40GHz
Intel Xeon 3.06,Intel Core i5-1245U
Intel Core i5-3610ME,Intel Xeon E5-2650 v3 @ 2.30GHz
AMD Athlon 64 1500+,Intel Xeon E5-2673 v2 @ 3.30GHz
AMD Sempron 3100+,AMD Ryzen 3 5400U
AMD Sempron 3400+,Intel Xeon E5-2650L v3 @ 1.80GHz
AMD Mobile Athlon 64 3200+,Intel Xeon E-2276M @ 2.80GHz
AMD Athlon 3000G,Intel Xeon E5-2663 v3 @ 2.80GHz
Intel Xeon X5687,Intel Xeon D-2146NT @ 2.30GHz
AMD Phenom X3 8850,Intel Xeon E5-2670 v2 @ 2.50GHz
AMD Sempron 2200+,AMD Ryzen 3 3100
Intel Pentium 4 1.9,Intel Xeon D-1577 @ 1.30GHz
AMD Phenom X4 9600B,Intel Core i5-10500H @ 2.50GHz
AMD Opteron 842,Intel Xeon E5-2648L v4 @ 1.80GHz
AMD Athlon XP 1800+,Intel Xeon E5-1650 v4 @ 3.60GHz
Intel Xeon Platinum 8180M,Intel Xeon E5-4669 v4 @ 2.20GHz
Intel Core i3-2100T,Intel Core i7-9850H @ 2.60GHz
AMD Sempron 2600+,AMD Ryzen 3 PRO 5450U
AMD Athlon XP 2500+,Intel Xeon E5-2650L v4 @ 1.70GHz
Intel Pentium III  933,Intel Core i7-9750HF @ 2.60GHz
Intel Pentium P6100,Intel Core i5-10600T @ 2.40GHz
Intel Core 2 Duo U7700,Intel Xeon E5-2630 v4 @ 2.20GHz
Intel Celeron G1101,Intel Core i3-11100B @ 3.60GHz
Intel Pentium M 760,Intel Xeon E5-4627 v3 @ 2.60GHz
AMD Opteron 3350 HE,AMD Ryzen 3 4300GE
AMD Athlon 64 3200+,AMD Ryzen 3 PRO 4200G
Intel Xeon MP 7030 Dual-Core,Intel Core i7-6850K @ 3.60GHz
AMD A8-5557M,ARM Neoverse-N1 16 Core 0 MHz
Intel Celeron 857,AMD Ryzen 3 PRO 4350GE
AMD Ryzen 3 5300G,Intel Core i7-9750H @ 2.60GHz
Intel Pentium 4-M 2.50,Intel Xeon E5-2640 v3 @ 2.60GHz
Intel Core i3-10325,Intel Xeon E5-2643 v4 @ 3.40GHz
AMD EPYC 7542,Intel Xeon Silver 4208 @ 2.10GHz
AMD Athlon 64 3000+,Intel Core i5-1235U
AMD E2-2000,Intel Xeon E-2226G @ 3.40GHz
Intel Pentium 4-M 1.90,Intel Core i7-1185G7E @ 2.80GHz
AMD Athlon 64 X2 3600+,AMD Ryzen 5 4500U
AMD EPYC 7402P,Intel Xeon E5-2628L v4 @ 1.90GHz
Intel Core i7-880,Intel Core i5-11300H @ 3.10GHz
Intel Pentium 4 HT 561,Intel Core i7-1195G7 @ 2.90GHz
Intel Pentium 4 HT 661,Intel Core i7-1185G7 @ 3.00GHz
Intel Pentium Dual-Core T4500,Intel Xeon E-2176M @ 2.70GHz
Intel Core i5-655K,AMD Ryzen 3 PRO 4200GE
AMD Opteron 144,Intel Xeon E-2186M @ 2.90GHz
Intel Pentium 4 HT 2.8E,Intel Xeon E5-2470 v2 @ 2.40GHz
Intel Core i7-11700,Intel Core i7-11390H @ 3.40GHz
Intel Xeon Platinum 9221,Intel Xeon E5-2630L v4 @ 1.80GHz
AMD EPYC 7H12,Apple A12X Bionic
Intel Core i5-9400F,Intel Xeon W-2225 @ 4.10GHz
AMD Phenom II X2 B55,Intel Core i5-9600KF @ 3.70GHz
AMD Athlon 64 LE-1600,Intel Xeon E5-4650 v3 @ 2.10GHz
Intel Core i7-7820X,AMD Ryzen 3 PRO 4350G
AMD Opteron 148,Intel Core i7-9700TE @ 1.80GHz
Intel Core i3-2328M,Intel Core i9-8950HK @ 2.90GHz
Intel Core i5-4690,Intel Core i5-9600K @ 3.70GHz
Intel Core i9-10940X,AMD Ryzen 3 4300G
AMD Athlon II X3 450,Intel Xeon E-2126G @ 3.30GHz
Intel Xeon E3-1235,Intel Core i7-9700T @ 2.00GHz
AMD Athlon 64 FX-76,Intel Core i5-11320H @ 3.20GHz
Intel Xeon E5-2670 v2,Intel Core i7-6800K @ 3.40GHz
Intel Atom E640,Intel Core i7-1165G7 @ 2.80GHz
AMD Athlon 950,Intel Core i5-1155G7 @ 2.50GHz
AMD Athlon X2 7850 BE,Intel Xeon E5-4620 v3 @ 2.00GHz
Intel Core 2 Extreme QX9300,Intel Xeon D-1581 @ 1.80GHz
AMD Sempron 2600+,Intel Xeon E5-2618L v3 @ 2.30GHz
Intel Xeon Phi 3110X,Intel Core i5-1145G7E @ 2.60GHz
AMD EPYC 7702,Intel Core i7-8700T @ 2.40GHz
Intel Celeron G1620,Intel Core i5-1145G7 @ 2.60GHz
Intel Core 2 Duo E8400,AMD Ryzen 5 PRO 1600
Intel Xeon L5506,Intel Xeon E5-2630 v3 @ 2.40GHz
AMD Athlon 64 3500+,Intel Xeon E5-2643 v3 @ 3.40GHz
Intel Xeon Phi 5110P,Intel Xeon E5-2660 v2 @ 2.20GHz
Intel Core i3-4330T,Intel Xeon E5-1650 v3 @ 3.50GHz
AMD Ryzen 5 5600X,Intel Xeon E5-4640 v3 @ 1.90GHz
Intel Xeon Gold 5315Y,Intel Core i5-9600 @ 3.10GHz
AMD FX-8100,Intel Core i5-10500T @ 2.30GHz
AMD Ryzen Threadripper 1940,Intel Xeon Silver 4109T @ 2.00GHz
Intel Xeon Phi 7120D,Intel Core i7-8850H @ 2.60GHz
AMD Sempron 2800+,Intel Core i5-9500F @ 3.00GHz
AMD Mobile Athlon 64 2800+,Intel Core i7-1160G7 @ 1.20GHz
AMD E1-1200,Intel Core i3-10325 @ 3.90GHz
Intel Core i3-2340UE,Intel Core i7-5930K @ 3.50GHz
Intel Core i3-1005G1,Intel Core i5-1140G7 @ 1.10GHz
AMD Mobile Athlon 64 3000+,Intel Xeon E5-2658 v2 @ 2.40GHz
Intel Xeon Platinum 8270,AMD EPYC 3201
AMD Sempron 3000+,Intel Xeon Silver 4110 @ 2.10GHz
Intel Atom Z560,Intel Xeon E5-1660 v2 @ 3.70GHz
Intel Pentium G840,Intel Core i5-8600K @ 3.60GHz
AMD Phenom II X4 820,Intel Xeon D-1541 @ 2.10GHz
AMD Opteron 43CX EE,AMD Ryzen 3 PRO 4450U
AMD Ryzen 5 PRO 2400G,Intel Core i7-10710U @ 1.10GHz
Intel Celeron G530,Intel Core i3-10320 @ 3.80GHz
AMD Ryzen 5 PRO 1500,Intel Core i5-1135G7 @ 2.40GHz
AMD Phenom II X4 840T,Intel Core i7-1068NG7 @ 2.30GHz
Intel Core i7-11700K,Intel Core i7-8750H @ 2.20GHz
Intel Pentium E5200,Intel Core i5-10400T @ 2.00GHz
AMD Athlon 64 3600+,AMD Ryzen 3 5300U
AMD Phenom X4 9100e,Intel Xeon W-2125 @ 4.00GHz
Intel Pentium M 770,Intel Xeon D-1540 @ 2.00GHz
Intel Core 2 Quad Q8200,Intel Xeon E5-2650 v2 @ 2.60GHz
Intel Celeron G4920,Intel Core i5-10500TE @ 2.30GHz
AMD Athlon 1333,Intel Xeon E5-2628L v3 @ 2.00GHz
AMD Athlon 64 3200+,Intel Core i3-1125G4 @ 2.00GHz
AMD Turion X2 RM-77,Intel Core i7-4960X @ 3.60GHz
AMD Phenom II X4 910e,Intel Xeon E-2234 @ 3.60GHz
Intel Atom D425,Intel Core i7-7740X @ 4.30GHz
AMD EPYC 7543P,Intel Core i5-8600 @ 3.10GHz
Intel Core i3-8120,Intel Xeon E5-2648L v3 @ 1.80GHz
Intel Core Duo T2400,Intel Xeon E5-2690 @ 2.90GHz
Intel Pentium 4-M 1.50,Intel Xeon E-2244G @ 3.80GHz
Intel Xeon MP 3.66,Intel Core i7-5820K @ 3.30GHz
Intel Xeon 2.66,Intel Xeon E5-2687W @ 3.10GHz
Intel Celeron D 326,Intel Xeon E5-2689 @ 2.60GHz
Intel Pentium Dual-Core E2180,Intel Core i5-1130G7 @ 1.10GHz
AMD Sempron 3000+,Intel Core i5-9500 @ 3.00GHz
AMD A8-3510MX,Intel Core i3-10305 @ 3.80GHz
Intel Xeon Platinum 8380H,AMD Ryzen 5 3350GE
Intel Xeon Phi SE10X,Intel Xeon E-2274G @ 4.00GHz
AMD Phenom II X3 740 BE,Intel Core i7-7700K @ 4.20GHz
AMD Athlon Gold PRO 3150G,AMD Ryzen 5 PRO 3350GE
AMD Opteron 252,AMD Ryzen 3 5425U
Intel Core i5-6400,Intel Core i5-1038NG7 @ 2.00GHz
Intel Atom Z550,Intel Xeon E-2174G @ 3.80GHz
AMD Athlon II X4 620,Intel Core i5-8500 @ 3.00GHz
AMD Ryzen Threadripper 1950X,Intel Core i5-9400F @ 2.90GHz
Intel Xeon E5-2420 v2,AMD Ryzen 5 PRO 3350G
AMD A6-5350M,Intel Core i5-9400 @ 2.90GHz
AMD Phenom X4 9550,Intel Core i5-8500B @ 3.00GHz
Intel Core 2 Duo E7200,Intel Xeon Gold 5222 @ 3.80GHz
Intel Xeon Platinum 8368Q,AMD Ryzen 5 PRO 1500
Intel Core Duo ULV L2500,AMD Ryzen 5 2500X
Intel Mobile Pentium 4 HT 552,Intel Xeon E5-4655 v3 @ 2.90GHz
Intel Xeon Platinum 8360H,Intel Xeon E5-2680 @ 2.70GHz
Intel Xeon E5-4610,Intel Core i7-4930K @ 3.40GHz
Intel Celeron E3500,AMD Ryzen 5 3400G
Intel Core i7-3517U,Intel Xeon E5-1650 v2 @ 3.50GHz
Intel Xeon E3-1220L,Intel Xeon E-2144G @ 3.60GHz
AMD Opteron X2150,Intel Xeon E5-4627 v2 @ 3.30GHz
Intel Core i3-3225,AMD Ryzen 5 PRO 3400G
AMD Phenom II X2 565 BE,Intel Core i3-10300 @ 3.70GHz
Intel Core i3-2105,Intel Xeon E3-1285 v6 @ 4.10GHz
AMD Turion 64 ML-34,Intel Xeon Silver 4108 @ 1.80GHz
Intel Core Duo LV L2400,Intel Xeon D-1567 @ 2.10GHz
Intel Core i7-1068G7,Intel Xeon E3-1275 v6 @ 3.80GHz
Intel Xeon Gold 6334,Intel Xeon D-1587 @ 1.70GHz
Intel Celeron D 341,Intel Core i5-8400 @ 2.80GHz
AMD E2-1800,Intel Xeon E5-2651 v2 @ 1.80GHz
Intel Pentium 4 1.4,Intel Core i5-9500TE @ 2.20GHz
Intel Pentium G860,Intel Xeon E3-1280 v6 @ 3.90GHz
Intel Xeon 3.0,Intel Xeon E5-2620 v4 @ 2.10GHz
AMD Athlon 64 3700+,Intel Core i7-1185GRE @ 2.80GHz
AMD E2-3000,Intel Core i3-10105F @ 3.70GHz
AMD Athlon 64 3100+,Intel Xeon E5-2629 v3 @ 2.40GHz
Intel Core i5-11600T,Intel Core i7-9850HL @ 1.90GHz
Intel Celeron 787,Intel Xeon D-1715TER @ 2.40GHz
AMD Athlon XP 2600+,AMD Ryzen 5 1500X
Intel Xeon E3-1270 v2,Intel Xeon E5-2643 v2 @ 3.50GHz
Intel Core i5-10600,Intel Xeon D-1548 @ 2.00GHz
AMD EPYC 74F3,AMD Ryzen 5 3350G
Intel Core i9-7960X,Intel Xeon E5-4648 v3 @ 1.70GHz
AMD Athlon XP 1700+,AMD Ryzen 5 3400GE
AMD Ryzen 9 3900X,Intel Xeon E5-2630L v3 @ 1.80GHz
AMD Opteron 150,Intel Core i7-6700K @ 4.00GHz
AMD Ryzen 3 4300GE,Intel Core i3-10105 @ 3.70GHz
Intel Pentium 4 HT 571,Intel Core i5-10400H @ 2.60GHz
Intel Core 2 Quad Q9450,Intel Xeon E5-2670 @ 2.60GHz
Intel Xeon E3-1245 v2,Intel Core i5-3170K @ 3.20GHz
AMD FX-9370,Intel Xeon E3-1270 v6 @ 3.80GHz
Intel Pentium 4 HT 560,Intel Core i3-10100F @ 3.60GHz
Intel Core i5-10400,Intel Xeon E3-1240 v6 @ 3.70GHz
AMD Athlon 64 3400+,Intel Core i3-10100 @ 3.60GHz
Intel Xeon 3.2,Intel Xeon Gold 5122 @ 3.60GHz
Intel Pentium 4 HT 651,Intel Core i7-8809G @ 3.10GHz
AMD Athlon XP 2000+,Intel Core i7-8559U @ 2.70GHz
AMD E-350,Intel Xeon E-2134 @ 3.50GHz
Intel Atom E680T,AMD Ryzen 5 2400G
AMD Athlon II X2 250u,Intel Core i5-10300H @ 2.50GHz
Intel Pentium 4 505J,Intel Xeon W-2223 @ 3.60GHz
Intel Xeon Platinum 8376HL,ARM X-Gene 32 Core 3300 MHz
Intel Pentium 4 511,Intel Core i7-1065G7 @ 1.30GHz
Intel Xeon W-2195,Intel Xeon E3-1245 v6 @ 3.70GHz
Intel Xeon Phi 7250F,Intel Core i7-7700 @ 3.60GHz
AMD Ryzen Threadripper 1940X,Intel Xeon E5-4650 @ 2.70GHz
Intel Xeon E3-1240,Intel Xeon E5-2648L v2 @ 1.90GHz
Intel Core i7-1060G7,Intel Core i7-3960X @ 3.30GHz
Intel Pentium M 1.40,Apple A14 Bionic
Intel Xeon E5630,Intel Core i7-8569U @ 2.80GHz
Intel Core i3-7120T,Intel Xeon W-2123 @ 3.60GHz
Intel Core i5-2557M,AMD Ryzen Embedded V1807B
Intel Core i5-4200Y,Intel Xeon E5-4650L @ 2.60GHz
Intel Celeron G550T,Intel Xeon E5-2628 v3 @ 2.50GHz
AMD A4-6300,Intel Xeon E-2314 @ 2.80GHz
AMD A10-9700,Intel Xeon E3-1275 v5 @ 3.60GHz
AMD Turion 64 MT-32,Intel Xeon E5-1660 @ 3.30GHz
Intel Core i3-8300T,Intel Core i5-10200H @ 2.40GHz
AMD Athlon 64 3800+,Intel Xeon E5-2665 @ 2.40GHz
Intel Celeron G1630,Intel Xeon E3-1585 v5 @ 3.50GHz
AMD Turion X2 Ultra ZM-82,Intel Xeon E3-1230 v6 @ 3.50GHz
Intel Core i7-2675QM,Intel Core i5-9600T @ 2.30GHz
AMD Opteron 140,Intel Core i7-8706G @ 3.10GHz
AMD EPYC 7552,Intel Core i5-1035G7 @ 1.20GHz
Intel Core i3-9300,AMD Ryzen 5 PRO 2400G
Intel Pentium 4 HT 520,Intel Core i7-3970X @ 3.50GHz
AMD Athlon 64 3500+,Intel Core i7-10810U @ 1.10GHz
AMD Mobile Athlon 64 3000+,Intel Xeon E3-1280 v5 @ 3.70GHz
Intel Core 2 Duo U7500,AMD Opteron 6386 SE
AMD Phenom X4 9850 (95W),Intel Xeon E3-1270 v5 @ 3.60GHz
Intel Pentium 4-M 1.70,AMD Ryzen 7 3750H
AMD Sempron 3200+ EE SFF,AMD Ryzen 5 PRO 3400GE
Intel Core i3-2357M,Intel Core i5-9400H @ 2.50GHz
AMD Athlon II X2 270,Intel Core i5-9500T @ 2.20GHz
Intel Atom D525,Intel Xeon E3-1240 v5 @ 3.50GHz
AMD EPYC 7702P,Intel Core i5-1035G4 @ 1.10GHz
Intel Pentium G3220T,Intel Core i7-3930K @ 3.20GHz
Intel Core i7-4930K,Intel Xeon E5-2470 @ 2.30GHz
AMD Athlon XP-M 2200+,Intel Core i3-10100E @ 3.20GHz
AMD Opteron 146,Intel Core i5-8600T @ 2.30GHz
Intel Xeon E5507,Intel Core i7-8557U @ 1.70GHz
AMD Turion 64 ML-42,AMD Ryzen Embedded V1756B
AMD Ryzen 3 1300,Intel Xeon E3-1535M v6 @ 3.10GHz
Intel Core i3-5010U,Intel Xeon E-2276ME @ 2.80GHz
Intel Celeron G1840,Intel Core i3-10305T @ 3.00GHz
Intel Core i7-4860HQ,AMD Ryzen 5 2400GE
Intel Core i7-8750H,Intel Core i5-8259U @ 2.30GHz
AMD Turion X2 RM-72,Intel Xeon E5-1650 @ 3.20GHz
AMD Athlon 64 FX-72,Intel Xeon E5-2660 @ 2.20GHz
Intel Atom Z670,Intel Core i7-6700 @ 3.40GHz
AMD Opteron 146,Intel Xeon E3-1245 v5 @ 3.50GHz
Intel Core i3-2312M,Intel Core i7-4790K @ 4.00GHz
AMD Athlon 64 X2 4600+,Intel Core i5-8269U @ 2.60GHz
Intel Core i7-11700F,Intel Core i5-8400H @ 2.50GHz
AMD Athlon XP 2400+,AMD Opteron 6348
Intel Core i7-5600U,Intel Core i5-8279U @ 2.40GHz
Intel Core i3-560,Intel Xeon E3-1285L v4 @ 3.40GHz
AMD E2-3000M,Intel Xeon E3-1585L v5 @ 3.00GHz
AMD FX-8370E,Intel Core i3-10300T @ 3.00GHz
AMD Athlon XP 2000+,AMD Ryzen 5 3550H
Intel Celeron E1200,Intel Core i7-8709G @ 3.10GHz
Intel Core i3-2100,Intel Core i7-8705G @ 3.10GHz
AMD Ryzen 5 PRO 4650G,Intel Xeon E3-1515M v5 @ 2.80GHz
Intel Core i9-7920X,Intel Xeon E3-1545M v5 @ 2.90GHz
AMD Sempron 2400+,Intel Xeon E5-2620 v3 @ 2.40GHz
Intel Celeron B730,Intel Xeon E3-1230 v5 @ 3.40GHz
AMD C-60,Intel Core i5-8260U @ 1.60GHz
Intel Celeron 2955U,Intel Core i3-10105T @ 3.00GHz
Intel Xeon L5618,AMD Ryzen 5 3580U
Intel Core i5-5250U,AMD Ryzen 5 2600H
AMD Athlon 64 3200+,Intel Core i5-9400T @ 1.80GHz
AMD Ryzen Threadripper 2990WX,Intel Core i7-5775C @ 3.30GHz
AMD A9-9420 SoC,Intel Core i5-9300H @ 2.40GHz
AMD Mobile Athlon 64 3700+,AMD Ryzen 5 1400
Intel Pentium 4 HT 521,Intel Xeon E3-1260L v5 @ 2.90GHz
AMD Phenom II X4 900e,Intel Xeon E5-2640 v2 @ 2.00GHz
AMD A10-7870K,Intel Core i5-1035G1 @ 1.00GHz
Intel Xeon E5-1650 v2,Intel Xeon D-2123IT @ 2.20GHz
AMD Phenom II X4 965 BE (140W),AMD Ryzen 3 PRO 1300
AMD Ryzen Threadripper 1950,Intel Core i7-5775R @ 3.30GHz
AMD Athlon II X4 605e,AMD Athlon Gold PRO 3150G
Intel Core i5-1035G4,Intel Core i5-8500T @ 2.10GHz
Intel Core i3-1115G4,Intel Core i7-5950HQ @ 2.90GHz
Intel Xeon Silver 4310,Intel Core i3-9350K @ 4.00GHz
AMD Ryzen 7 3780U,Intel Core i7-7820HK @ 2.90GHz
AMD Athlon 1400,AMD Ryzen 5 3550U
AMD Phenom II X4 965 BE (125W),Intel Core i5-8257U @ 1.40GHz
Intel Core i3-10105F,Intel Core i5-9300HF @ 2.40GHz
Intel Pentium 4 HT 662,Intel Xeon E3-1270L v4 @ 3.00GHz
Intel Xeon 5050,AMD Ryzen 7 2800H
AMD Sempron X2 2200,AMD Ryzen 7 3780U
AMD Opteron 246 HE,Intel Xeon E3-1575M v5 @ 3.00GHz
AMD Athlon 64 3200+,Intel Xeon E3-1285 v4 @ 3.50GHz
AMD Opteron 850 HE,Intel Xeon E5-1630 v4 @ 3.70GHz
Intel Xeon Phi 7290F,Intel Xeon E5-2623 v4 @ 2.60GHz
Intel Core i5-8600T,AMD Ryzen 3 4300U
