Product,cpuName
AMD E1-2150,Intel Xeon Gold 6253CL @ 3.10GHz
Intel Core i5-10210U,Intel Xeon W-3245 @ 3.20GHz
AMD Athlon Gold 3150G,AMD Ryzen Threadripper 2970WX
Intel Celeron 2.70,AMD EPYC 7551P
Intel Xeon Gold 5318N,Intel Xeon Gold 6246R @ 3.40GHz
AMD Athlon 64 3500+,Intel Core i9-12900HK
AMD Sempron 3400+ EE SFF,Intel Core i9-9990XE @ 4.00GHz
Intel Core i7-3525M,Intel Xeon W-3265 @ 2.70GHz
AMD A6-3410MX,Intel Xeon Platinum 8268 @ 2.90GHz
Intel Core i5-450M,Intel Xeon Silver 4314 @ 2.40GHz
AMD Opteron A1150,AMD Ryzen Threadripper 2950X
Intel Pentium G3430,Intel Core i9-7980XE @ 2.60GHz
Intel Core i7-10610U,Intel Core i9-12900H
Intel Core i5-4210U,Intel Xeon Gold 6254 @ 3.10GHz
Intel Core 2 Duo E6420,Intel Xeon W-2191B @ 2.30GHz
AMD Athlon XP 1900+,Intel Xeon Gold 6148 @ 2.40GHz
Intel Pentium III 1400,Intel Xeon Gold 6210U @ 2.50GHz
AMD Athlon 64 3000+,Intel Xeon Gold 6154 @ 3.00GHz
Intel Xeon E3-1290 v2,Intel Core i9-10940X @ 3.30GHz
AMD Phenom X3 8550,Intel Xeon Gold 5317 @ 3.00GHz
Intel Core i5-8600K,Intel Core i9-9940X @ 3.30GHz
Intel Xeon Platinum 8356H,AMD Ryzen 7 5800X
AMD Athlon XP 2200+,AMD EPYC 7401P
AMD Athlon Silver PRO 3125GE,ARM Neoverse-N1 64 Core 0 MHz
Intel Mobile Pentium 4 HT 538,AMD Ryzen Threadripper 1950X
Intel Core i7-8700,Intel Xeon W-2275 @ 3.30GHz
Intel Pentium Dual-Core E2220,Intel Xeon Gold 6238 @ 2.10GHz
AMD Ryzen 5 4600U,Intel Xeon Gold 6212U @ 2.40GHz
AMD Ryzen Threadripper 2970WX,AMD EPYC 7571
AMD Opteron X2 875 HE,Intel Core i5-12600K
Intel Atom Z605,Intel Core i7-12700H
Intel Xeon Platinum 8351N,Intel Xeon Platinum 8173M @ 2.00GHz
Intel Atom N475,Intel Xeon W-2195 @ 2.30GHz
Intel Core i5-3350P,Intel Xeon Gold 6226R @ 2.90GHz
Intel Xeon E5-1660 v2,Intel Core i5-12600KF
AMD Sempron 3300+,AMD Ryzen 7 5700X
AMD Ryzen 5 PRO 2600,Intel Xeon Gold 6208U @ 2.90GHz
AMD Phenom X4 9450e,Intel Core i9-7960X @ 2.80GHz
AMD A4-3420,Intel Core i9-10920X @ 3.50GHz
Intel Pentium 4 1.80,Intel Xeon Platinum 8175M @ 2.50GHz
AMD Opteron 248,Intel Xeon Gold 6230 @ 2.10GHz
Intel Pentium 4 506,Intel Core i9-7940X @ 3.10GHz
Intel Core i7-3840QM,Intel Xeon Platinum 8160 @ 2.10GHz
Intel Pentium 4 2.53,AMD Ryzen Threadripper 2990X
Intel Mobile Pentium 4 2.40,AMD EPYC 7272
Intel Xeon Phi 7110P,Intel Xeon Gold 5318Y @ 2.10GHz
Intel Core i3-7300,Intel Xeon Gold 6242 @ 2.80GHz
Intel Core i7-3520M,Intel Xeon W-1390P @ 3.50GHz
AMD Turion 64 MT-30,Intel Xeon W-2265 @ 3.50GHz
AMD Sempron LE-1300,Intel Xeon W-3235 @ 3.30GHz
Intel Atom Z625,Intel Xeon W-3323 @ 3.50GHz
Intel Core i5-4200U,Intel Xeon Gold 5220 @ 2.20GHz
Intel Pentium E5700,AMD Ryzen 7 5800
Intel Core i3-3110M,Intel Core i9-11900K @ 3.50GHz
Intel Pentium G3420T,Intel Xeon E5-2698R v4 @ 2.20GHz
AMD E1-1500,AMD Ryzen 7 5800X3D
AMD A10-9700E,AMD EPYC 7351P
Intel Pentium 4-M 2.00,AMD Ryzen 7 6800HS
Intel Xeon E5620,Intel Xeon Platinum 8167M @ 2.00GHz
Intel Core i3-3120M,Intel Core i9-11900KF @ 3.50GHz
AMD Opteron 6274,Intel Core i9-9920X @ 3.50GHz
AMD Ryzen 7 1800X,AMD Ryzen Threadripper 2920X
Intel Core i3-3120ME,Intel Xeon W-1370P @ 3.60GHz
AMD Ryzen 3 3200U,Intel Xeon Gold 5218R @ 2.10GHz
Intel Xeon E-2124G,AMD Ryzen 7 PRO 5750G
AMD Athlon 700,AMD EPYC 7501
AMD Athlon 64 2700+,Intel Xeon Gold 6138T @ 2.00GHz
AMD Ryzen 7 2700X,Intel Xeon Gold 6143 @ 2.80GHz
AMD Ryzen Embedded V1807B,Intel Core i7-11700K @ 3.60GHz
AMD Athlon II X3 415e,Intel Xeon W-2170B @ 2.50GHz
Intel Core i5-2310,Intel Xeon E5-2699 v4 @ 2.20GHz
AMD FX-8320,AMD Ryzen 7 5700G
Intel Core i7-10700K,Intel Xeon Gold 6150 @ 2.70GHz
AMD Opteron 6386 SE,Intel Xeon Gold 6246 @ 3.30GHz
AMD Opteron X2 875,AMD Ryzen 9 6900HS
Intel Celeron 877,AMD Ryzen 7 PRO 6850U
AMD Phenom II X6 1100T BE,Intel Xeon Gold 6248 @ 2.50GHz
