,Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
4264,4264,NVIDIA GeForce GT 320 OEM,GPU,2010-02-02,40.0,43.0,144.0,727.0,540.0,TSMC,NVIDIA,,187.5,
4267,4267,NVIDIA GRID K340,GPU,2013-07-23,28.0,225.0,118.0,1270.0,954.0,TSMC,NVIDIA,,732.7,30.53
4271,4271,NVIDIA GeForce Go 7450,GPU,2006-02-01,90.0,,81.0,112.0,300.0,TSMC,NVIDIA,,,
4275,4275,NVIDIA P104-100,GPU,2017-12-12,16.0,,314.0,7200.0,1607.0,TSMC,NVIDIA,104.0,6655.0,208.0
4276,4276,NVIDIA GeForce GT 610 OEM,GPU,2016-04-02,40.0,29.0,116.0,585.0,701.0,TSMC,NVIDIA,,134.6,11.22
4281,4281,NVIDIA Quadro 5000,GPU,2011-02-23,40.0,152.0,529.0,3100.0,513.0,TSMC,NVIDIA,,722.3,361.2
4282,4282,NVIDIA Tesla P100 SXM2,GPU,2016-04-05,16.0,300.0,610.0,15300.0,1328.0,TSMC,NVIDIA,21220.0,10610.0,5304.0
4284,4284,NVIDIA GeForce GT 420M,GPU,2010-09-03,40.0,23.0,116.0,585.0,500.0,TSMC,NVIDIA,,192.0,16.0
4287,4287,NVIDIA GeForce FX 5700,GPU,2003-10-23,130.0,25.0,133.0,82.0,425.0,TSMC,NVIDIA,,,
4291,4291,NVIDIA Quadro 6000 SDI,GPU,2011-07-25,40.0,231.0,529.0,3100.0,574.0,TSMC,NVIDIA,,1028.0,513.9
4292,4292,NVIDIA GeForce 940M,GPU,2015-03-13,28.0,75.0,148.0,1870.0,1020.0,TSMC,NVIDIA,,1124.0,35.14
4293,4293,NVIDIA GeForce GT 640 OEM Rebrand,GPU,2012-04-24,40.0,75.0,238.0,1170.0,720.0,TSMC,NVIDIA,,414.7,34.56
4294,4294,NVIDIA NVS 4200M,GPU,2011-02-22,40.0,25.0,79.0,292.0,810.0,TSMC,NVIDIA,,155.5,12.96
