GPUname,GPUname.1
radeon igp 320m,amd radeon r7 360
radeon igp 340m,amd radeon r7 m260dx
quadro k5100m,intel hd graphics 4200
quadro k4000m,nvidia geforce 6200 pci
quadro k500m,nvidia geforce mx250
quadro k5000m,nvidia geforce4 mx 4000 rev. 2
quadro k3000m,nvidia geforce go 6400
quadro k2000m,nvidia quadro k2100m
quadro 5010m,nvidia geforce 945m
quadro k1100m,nvidia geforce 6800
quadro k3100m,nvidia quadro fx 1800m
quadro k1000m,nvidia tesla k40st
quadro 4000m,xgi volari v5 ultra
quadro 3000m,nvidia rtx a4000
quadro 2000m,nvidia geforce gt 130m
quadro fx 1600m,amd radeon vega 11 embedded
quadro 5000m,nvidia geforce fx 5900 zt
nvs 5200m,nvidia geforce rtx 3070 ti
quadro 1000m,intel gma 3100
nvs 5100m,nvidia geforce 8600 gt
nvs 4200m,intel iris pro graphics p580
nvs 3100m,ati firegl 9800 x2-256t
quadro nvs 140m 256mb gddr3,nvidia geforce 945a
quadro nvs 140m 128mb gddr2,nvidia quadro plex 2200 s4
nvs 2100m,ati mobility radeon x2300
quadro nvs 135m,nvidia geforce rtx 2080 max-q
quadro nvs 130m,amd radeon hd 7670 oem
quadro nvs 120m,matrox millennium g550 pcie
radeon r7 8800p,amd radeon pro 5700 xt
quadro nvs 110m,nvidia geforce 7300 le
radeon r7 7500,ati firepro v9800
radeon r6 7350b,amd radeon r5 435 oem
radeon r5 7410,nvidia quadro rtx 4000
radeon r6 7400p,nvidia geforce 7950 gt agp
radeon r6 8700p,intel iris plus graphics 640
radeon r6 7300,ati radeon x800 xt
radeon r5 7200p,amd radeon hd 6350
radeon r6 6700t,amd radeon hd 6870
radeon r5 7100,intel uhd graphics 600
radeon r5 7150b,ati radeon x1700 fsc
radeon r5 6410,nvidia geforce 615
radeon r3 6210,nvidia switch gpu 16nm
radeon r4 7000,ati firegl v3100
radeon r4 7310,amd radeon r9 m270x
radeon r2 6110,ati radeon x550 xtx
radeon r2 6200t,amd radeon rx 560 896sp
radeon r4 7050b,amd radeon hd 8350g igp
radeon r4 6310,ati radeon x300 le
radeon r3 6400t,amd radeon hd 8990 oem
radeon r2 6010,nvidia geforce gtx 560 ti x2
radeon r8 m365dx,nvidia geforce fx go5200
radeon hd 8650g + hd 8670m dual,amd radeon pro 5700
radeon hd 8650g + hd 8570m dual,amd radeon hd 8550g igp
radeon hd 8610g + hd 8670m dual,nvidia geforce 810m
radeon hd 8550g + hd 8750m dual,amd radeon hd 6550a
radeon hd 8550g + hd 8670m dual,amd radeon hd 6530
radeon hd 7660g + hd 7670m dual,ati radeon 9800 pro
radeon hd 7640g + hd 7670m dual,amd firepro w4100
radeon hd 8210g + hd 8570m dual,ati radeon x550 hypermemory
radeon hd 7640g + hd 7470m dual,amd radeon rx vega 11
radeon hd 7640g + hd 7610m dual,amd radeon rx 550 512sp
radeon hd 6740g2,nvidia geforce gtx 1080
radeon hd 7520g + hd 7670m dual,amd radeon r9 m380
radeon hd 6620g + hd 7690m dual,ati mobility radeon hd 2400 xt mac edition
radeon hd 6620g + hd 7450m dual,amd radeon pro wx 7100
radeon hd 6520g + hd 7670m dual,nvidia geforce gtx 760
radeon hd 6640g2,nvidia grid k160q
radeon hd 6720g2,nvidia tesla m2070
radeon hd 6645g2,ati radeon e4690 pcie
radeon hd 6620g,ati mobility radeon hd 2400 xt
radeon hd 6545g2,nvidia geforce gtx titan black
radeon hd 6515g2,ati radeon x1950 xt agp
radeon hd 6540g2,amd radeon hd 7400g igp
radeon hd 7640g,nvidia quadro p5000
radeon hd 6520g,nvidia geforce gt 740 oem
radeon hd 7620g,ati radeon x600
radeon hd 7600g,amd radeon pro w5300m
radeon hd 7400g,ati radeon x800 pro
radeon hd 7500g,intel xeon phi 3120a
radeon hd 8550g,amd radeon hd 7560d igp
radeon hd 8510g,nvidia geforce 9400m g
radeon hd 7520g,ati radeon 9500
radeon hd 7420g,ati radeon xpress 1200 mobile igp
radeon hd 8350g,amd radeon r9 m265x
radeon hd 8450g,nvidia geforce gts 450 rev. 3
mobility radeon hd 4860,nvidia quadro fx 4000
mobility radeon hd 4830,amd radeon r7 360 896sp
radeon hd 6480g,nvidia geforce 8800 ultra
mobility radeon hd 4670 1gb,matrox m9125 pcie x16
mobility radeon hd 4550,amd radeon hd 7690m xt rebrand
mobility radeon hd 4650,nvidia geforce 8800 gtx
mobility radeon hd 4850,nvidia geforce 6800 gt ddl
mobility radeon hd 4530,ati radeon 9000 pro mac edition
mobility firegl v5700,intel iris pro graphics 580
mobility radeon hd 4570,amd radeon pro wx 4150 mobile
mobility radeon hd 4670 512mb,amd radeon vii
mobility radeon hd 4350,nvidia quadro k1200
mobility firegl v5250,amd radeon pro v7350x2
mobility firegl v5200,amd radeon r5 a335
mobility firegl t2,nvidia geforce2 go 200
firepro m7820,intel xeon phi 5120d
firepro m8900,ati mobility radeon hd 4870 x2
firepro m7740,xgi volari v5 ultra
firepro m5950,nvidia geforce 7050 se + nforce 630a
firepro w4170m,nvidia geforce gt 740
firepro m5800 1gb ddr3,nvidia quadro k5000
firepro m6100,nvidia geforce mx150
firepro m5100,nvidia geforce 9200m
firepro m4000,ati mobility radeon x1900
mobility firegl v3200,amd radeon r7 360e
mobility radeon hd 4330,nvidia geforce 6800 le
mobility radeon 9600 series,amd radeon hd 6750
firepro m3900,amd radeon r5 430 oem
mobility radeon 9200,amd radeon r9 260 oem
mobility radeon 9700 series,nvidia geforce 930m
mobility radeon hd 4250,nvidia geforce fx 5600 xt
mobility radeon hd 4270,amd radeon graphics 512sp
mobility radeon hd 4200,nvidia quadro k5100m
mobility radeon hd 2600 xt,ati mobility radeon x300 igp
mobility radeon 9000 64mb,amd radeon pro 580
mobility radeon hd 2600,nvidia geforce 310 oem
mobility radeon hd 2700,nvidia geforce 940mx
mobility radeon hd 2300,nvidia rtx a6000
mobility radeon hd 2400 xt,intel iris plus graphics g4
mobility radeon hd 3870,ati mobility radeon x2300 hd
mobility radeon hd 3670,nvidia geforce 8600 gts mac edition
mobility radeon hd 3650,nvidia geforce 9500m g
mobility radeon hd 2400,ati radeon x800 se
mobility radeon hd 3850,amd firepro m4100
mobility radeon hd 3470,amd radeon hd 7610m
mobility radeon hd 3200,nvidia geforce go 7400
mobility radeon hd 3430,ati mobility radeon x1600
mobility radeon hd 3450,ati firepro v8750
mobility radeon hd 3410,nvidia tesla c2050
geforce 7150m nforce 630m,amd radeon hd 7350 oem pci
geforce 8800m gtx,amd radeon rx 470 mobile
geforce 8800m gtx sli,amd radeon hd 6770 green edition
geforce 8800m gts,nvidia quadro p620 mobile
geforce go 6800 ultra,nvidia geforce 8800 gts 512
geforce gtx 880m 8gb,amd radeon hd 8510g igp
geforce go 7900 gtx,nvidia quadro m3000m
geforce go 7200,nvidia tesla s1075
geforce go 7800 gtx,nvidia geforce fx go5200 npb 32m
geforce go 7950 gtx,nvidia quadro k5200
geforce gtx 880m sli,nvidia geforce 710a
geforce gtx 485m sli,amd radeon e9260 pcie
geforce gtx 880m 4gb,nvidia geforce 8300
geforce go 7900 gs,ati radeon x1650 xt
geforce gts 160m,nvidia geforce 6600 agp
geforce gtx 580m sli,nvidia geforce 710a
geforce gtx 560m sli,ati mobility radeon x600
geforce gtx 570m,intel uhd graphics
geforce gt 555m 3gb,nvidia quadro fx 5600 mac edition
geforce gtx 580m,ati radeon x1050 agp
geforce gt 555m v2,amd firestream 9170
geforce gtx 560m,nvidia geforce gtx 960 oem
geforce gt 555m v3,ati radeon hd 2600 xt x2
geforce gt 550m 2gb,nvidia grid rtx t10-8
geforce gt 540m,nvidia geforce gtx 1050 mobile
geforce gt 555m,nvidia geforce rtx 3080 max-q
geforce gt 540m 2gb,nvidia geforce gtx 1650 max-q
geforce gt 550m,intel hd graphics 3000
geforce gt 525m,ati mobility radeon hd 2400
geforce gt 525m 2gb,nvidia geforce gt 525m
geforce gt 520m v2,sony playstation 2 gpu 90nm
geforce gt 520m,amd radeon hd 7660d igp
geforce gtx 280m,nvidia geforce gt 610 pci
geforce gtx 285m,ati radeon hd 3850 agp
geforce gt 520mx,nvidia geforce gtx 750 gm206
geforce gtx 260m,ati firepro v5700
geforce gtx 260m sli,ati mobility firegl v5725
geforce gts 260m,intel iris pro graphics p580
geforce gts 250m,intel uhd graphics
geforce gtx 280m sli,nvidia geforce gtx 680mx mac edition
geforce gtx 1070m,ati all-in-wonder radeon 7500 ve
geforce gtx 1050m ti 4gb,nvidia grid a100a
geforce gt 240m,nvidia geforce rtx 2070 max-q
geforce gtx 1080 ti mobile,ati radeon hd 4350
geforce gtx 1050m,3dfx voodoo4-2 4200 pci 16 mb
geforce g 210m,amd radeon hd 6570 oem
geforce gt 230m,nvidia geforce4 mx 440-se
geforce gtx 1060m,amd radeon r7 240 oem
geforce gtx 285m sli,ati firegl v7350
geforce gt 130m,ati radeon hd 5870 eyefinity 6
geforce gts 150m,nvidia geforce2 mx dh pro tv
geforce g 205m,amd firepro d700
geforce gt 220m,nvidia geforce 9100m g mgpu intel
geforce g 103m,ati radeon 9600
geforce g 105m,nvidia geforce gtx 260m
geforce g 102m,amd radeon 550x 640sp
geforce gt 120m,amd radeon r9 m470
geforce gtx 485m,intel aubrey isle
geforce gtx 480m,ati radeon hd 3570
geforce gtx 480m sli,amd radeon e9174 mxm
geforce gtx 470m sli,nvidia geforce 9700m gt
geforce gtx 470m,amd radeon rx 6600
geforce gt 445m v2,ati radeon hd 2900 xtx
geforce g 110m,amd radeon pro 5500 xt
geforce gt 445m,amd radeon rx 480 mobile
geforce gtx 460m sli,ati mobility radeon 9600
geforce gt 435m v2,ati radeon hd 5450 pci
geforce gt 435m,intel uhd graphics g7
geforce gt 425m,nvidia geforce gtx 980m
geforce gtx 460m,ati radeon x850 xt platinum
geforce gtx 870m 6gb,nvidia geforce gt 330m mac edition
geforce gtx 1080m,ati firepro rg220
geforce 410m,nvidia geforce2 mx
geforce gt 420m,ati radeon x1950 crossfire edition
geforce gt 415m,nvidia titan v
geforce gtx 860m 4gb,nvidia geforce gts 150 oem
geforce 405m,ati radeon hd 2400 xt
geforce gtx 850m v2 2gb,nvidia geforce rtx 2070
geforce gtx 850m 4gb,nvidia geforce gtx 780 rev. 2
geforce gtx 860m 2gb sli,amd firepro d300
geforce 840m 4gb,nvidia geforce 825m
geforce gts 360m,nvidia p104-101
geforce 820m 2gb,nvidia geforce 720a
geforce gts 350m,amd radeon r6 m335dx
geforce gt 335m,nvidia geforce 705m
geforce 840m 2gb,nvidia geforce gtx 555 oem
geforce gt 330m,ati firegl 9600 t2-64s
geforce gt 325m,amd radeon hd 6990m
geforce 825m 2gb,nvidia geforce 7300 gt mac edition
geforce 320m,ati all-in-wonder 9700 pro
geforce gt 320m,nvidia geforce 210 rev. 2
geforce gtx 850m 2gb,matrox millennium g450 lp
geforce 310m,amd radeon rx 550
geforce 315m,amd radeon hd 8970m
geforce gtx 870m 3gb,ati mobility radeon 7500
geforce 820m 1gb,ati radeon ddr vivo oem
geforce 305m,amd radeon hd 8410g igp
geforce gtx 675mx mac edition,amd radeon r9 nano
geforce gtx 680m,nvidia geforce 8800 gs mac edition
geforce gtx 675mx,amd radeon rx 460 1024sp
geforce gtx 680mx,nvidia geforce gt 720
geforce gtx 680m sli,nvidia geforce 7200 gs
geforce gtx 675m,amd radeon rx 6800 xt
geforce gtx 675m sli,amd radeon hd 7470m
geforce gtx 860m 2gb,nvidia geforce gt 620 oem
geforce gtx 670mx sli,ati radeon x1300 pro
geforce 310m v2,nvidia geforce2 mx pci
geforce gtx 670m,nvidia geforce 7300 se
geforce gtx 670m 3gb,nvidia geforce 6800 gt dual
geforce gtx 670mx,amd firepro w2100
geforce gtx 660m,nvidia quadro4 750 xgl
geforce gt 650m v2 sli,nvidia geforce 6200 se turbocache
geforce gt 650m mac 1gb edition,amd radeon rx 6700 xt
geforce gt 645m,nvidia geforce 9500m gs
geforce gt 640m le v2,amd firepro s10000
geforce gt 640m le,nvidia geforce 705a
geforce gt 650m,nvidia geforce go 6250
geforce gt 640m,nvidia quadro p4200 mobile
geforce gt 635m v3,nvidia geforce2 go
geforce gt 635m v2,intel hd graphics
geforce gt 630m,ati firepro v4800
geforce gt 625m,nvidia geforce gtx 280
geforce gt 620m v2,ati firepro 2450 multi-view pcie x1
geforce gt 630m v3,nvidia geforce rtx 3080 mobile
geforce gt 620m,xgi volari duo v8 ultra
geforce 610m v5,nvidia quadro fx 380 lp
geforce gt 630m v2,amd radeon r9 m385
geforce 830m 2gb,ati firepro v8700
geforce 610m v4,ati radeon x1600 pro
geforce 610m v3,nvidia geforce rtx 3090
geforce 610m v2,amd firepro w9100
geforce gtx 780m sli,nvidia geforce 7800 gtx
geforce gtx 780m,nvidia tesla m2070-q
geforce gtx 770m sli,nvidia tesla x2090
geforce gtx 770m,nvidia geforce gt 720a
geforce gt 635m,ati mobility radeon x700
geforce gtx 765m sli,nvidia geforce gtx 285
geforce gtx 775m mac edition,amd playstation 4 gpu
geforce gtx 760m sli,ati radeon 9100
geforce gtx 765m,ati radeon xpress 1200 mobile igp
geforce gt 755m sli,nvidia geforce gts 360m
geforce gtx 760m,amd radeon pro wx 9100
geforce gt 750m v3,nvidia geforce gt 520m
geforce gt 750m mac edition,amd radeon r7 350 oem
geforce gt 750m sli,nvidia geforce fx go5700
geforce gt 750m,amd radeon hd 7690m
geforce gt 750m 2gb gddr5,ati radeon 9250
geforce gt 745m v2,intel gma 3000
geforce gt 740m v2,nvidia geforce rtx 3050 ti mobile
geforce gt 745m,nvidia quadro fx 3700
geforce gt 755m,nvidia geforce gt 640
geforce gt 740m 64-bit edition,nvidia geforce 6200 agp
geforce gt 740m,nvidia geforce gtx 260 core 216 rev. 2
geforce gt 730m v2,ati radeon hd 5950
geforce gt 730m,ati mobility radeon hd 540v
geforce gt 720m 2gb,matrox parhelia precision sdt
geforce gt 735m,nvidia quadro nvs 280 agp
geforce 710m,ati radeon hd 4730
geforce gt 720m,amd firepro w4170m
geforce gt 650m v2,nvidia quadro fx 880m
geforce gtx 980m 8gb sli,amd firepro m5100
geforce gtx 980mx 8gb,amd radeon hd 7500g igp
geforce gtx 980m 8gb,ati radeon hd 4250
geforce gtx 980m 4gb,nvidia p102-100
geforce gtx 970mx 3gb,amd radeon hd 6750m
geforce gtx 970m 6gb sli,nvidia geforce 6800 gs
geforce gtx 970m 3gb,ati all-in-wonder 9000 pro
geforce gtx 970m 6gb,nvidia quadro cx
geforce gtx 965m 4gb sli,nvidia tesla m6
geforce gtx 980 4gb,ati mobility radeon hd 3430
geforce gtx 960m 4gb,nvidia quadro k610m
geforce gtx 965m 4gb,amd radeon pro wx vega m gl
geforce gtx 960m 2gb,amd radeon pro 580x
geforce 610m,sony playstation 2 gpu 250nm
geforce gtx 950m v2 2gb,nvidia geforce go 7200
geforce 940mx 2gb,nvidia a16 pcie
geforce 945m 2gb,amd radeon r9 m280x
geforce gtx 950m v2 4gb,ati radeon hd 3200 mobile igp
geforce gtx 965m 2gb,nvidia geforce gt 120m
geforce 705m 1gb,ati mobility radeon hd 4860
geforce 930mx 2gb,amd firepro s9000
geforce gtx 950m 2gb,amd radeon r2 mobile graphics
geforce 940m 2gb,ati xbox 360 s gpu
geforce 920mx 2gb,amd radeon hd 8240 mobile igp
geforce 930m 2gb,amd radeon rx 5300
geforce 940m 4gb,amd radeon hd 6450 oem
geforce 920m 4gb,nvidia quadro p5000 mobile
geforce 910m 2gb,nvidia quadro fx 5800
geforce 920m 2gb,amd radeon hd 7650m rebrand
geforce go 7800,nvidia quadro p1000 mobile
geforce go 7700,ati radeon 9000 pro
geforce go 7300,ati radeon hd 4770
geforce go 7600 gt,nvidia geforce 7100 + nforce 630i
geforce 920m 1gb,nvidia geforce 9300 gs rev. 2
geforce go 7400,nvidia geforce gtx 960 oem
geforce go 6800,nvidia geforce2 ultra
geforce go 6600,nvidia geforce gt 555m
geforce go 7600 512mb ddr2,nvidia geforce gtx 560 ti
geforce go 6400,nvidia geforce 205 oem
geforce go 6150,nvidia geforce rtx 2070 mobile
geforce go 6100,nvidia geforce2 go
geforce go 6200,ati mobility radeon x1800 xt
geforce 8800m gt,nvidia geforce gtx 780 6 gb
geforce 8800m gs,ati mobility radeon hd 550v
geforce go 7600,nvidia geforce mx450 30.5w 10gbps
geforce 8700m gt,amd radeon r9 m375
geforce 8700m gt 256mb,ati radeon hd 2350 pro
geforce 8600m gt 512mb,nvidia quadro k5000m
geforce 8600m gt,amd radeon r9 280
geforce 8400m gs,amd radeon r7 graphics
geforce 8600m gs,amd radeon hd 8770m
geforce 8400m g,amd playstation 4 pro gpu
geforce 7000m/nforce 610m,amd radeon r7 m465x
geforce 8200m g,ati radeon x850 crossfire edition
geforce 8400m gt,ati radeon xpress 1100 mobile igp
iris i5 5675c,ati radeon hd 2600 xt mac edition
hd xeon e3-1235,amd firestream 9250
hd i5 k655,ati mobility radeon hd 5850 mac edition
hd xeon e3-1225,nvidia geforce fx 5900
intel hd pentium g620,nvidia quadro 5000m
intel media accelerator hd,amd firepro w6170m
intel gma x4500,nvidia geforce 6100 + nforce 400
intel hd pentium g4520,amd radeon hd 6870m
intel q45 express chipset,ati radeon x800 gt agp
radeon rx vega 64 nano 8gb,nvidia geforce 7800 gs agp
radeon rx vega 64 liquid 8gb,nvidia geforce gt 555m
radeon xpress 1200 series,nvidia geforce gt 645 oem
radeon sky 900,nvidia nvs 2100m
radeon x850 xt platinum,amd radeon r7 m265dx
radeon sky 700,amd radeon hd 6550m
radeon r9 295x2 crossfire,nvidia geforce gt 520 pcie x1
radeon r9 295x2 xfx hydra 8gb edition,nvidia quadro nvs 280 pcie
radeon r9 295x2,nvidia grid k500
radeon r9 290x xfx double dissipation 8gb edition,nvidia a100 sxm4 40 gb
radeon sky 500,nvidia quadro m600m
radeon r9 nano 4gb,amd radeon r6 m340dx
radeon r9 290x xfx core 4gb edition,amd radeon vega 3
radeon r9 fury x 4gb crossfire,amd radeon hd 6230
radeon xpress x200,nvidia geforce rtx 2080 super max-q
radeon r9 fury sapphire tri-x 4gb edition,amd radeon rx 580g
radeon r9 fury x 4gb,amd firestream 9270
radeon r9 fury 4gb,nvidia geforce gtx 760 oem
radeon r9 390x xfx double dissipation black 8gb edition,amd radeon hd 6380g igp
radeon r9 390x powercolor pcs+ 8gb edition,amd radeon r9 fury x2
radeon r9 390x xfx double dissipation 8gb edition,ati radeon x800 ve agp
radeon r9 390x sapphire tri-x 8gb edition,nvidia geforce2 mx 200 lp
radeon r9 390x sapphire tri-x w/ back plate 8gb edition,ati radeon x600 pro
radeon r9 390x sapphire nitro w/ back plate 8gb edition,nvidia geforce 8200m g mgpu amd
radeon r9 390x his iceq x² oc 8gb edition,nvidia geforce 7300 gt agp
radeon r9 390x msi gaming 8gb edition,nvidia quadro fx 500
radeon r9 390x powercolor devil 8gb edition,nvidia geforce gtx 560 ti oem
radeon r9 390x gigabyte g1 gaming 8gb edition,ati all-in-wonder radeon 8500
radeon r9 390x crossfire,nvidia geforce 315 oem
radeon r9 390x asus directcu iii strix gaming oc 8gb edition,intel iris pro graphics p6300
radeon r9 390x club3d royalqueen oc 8gb edition,ati radeon igp 330m
radeon r9 390 xfx double dissipation 8gb edition,nvidia grid a100b
radeon r9 390x,ati radeon x800 gt agp
radeon r9 390 powercolor pcs+ 8gb edition,amd radeon hd 6750m mac edition
radeon r9 390x asus directcu ii 8gb edition,nvidia geforce pcx 5950
radeon r9 390 sapphire nitro 8gb edition,amd radeon hd 8570 oem rebrand
radeon r9 390 sapphire nitro w/ back plate 8gb edition,nvidia tesla v100 pcie 32 gb
radeon r9 390 gigabyte g1 gaming 8gb edition,nvidia geforce gtx 660m
radeon r9 390 msi gaming 8gb edition,nvidia geforce gtx 780
radeon r9 390 crossfire,ati fire gl2
radeon r9 390 powercolor devil 13 dual core 16gb edition,amd radeon r9 370
radeon r9 390 asus directcu iii oc strix gaming 8gb edition,nvidia geforce gtx 765m
radeon r9 380x xfx double dissipation black oc 4gb edition,ati radeon x1300 pci
radeon r9 390 gigabyte g1 gaming 8gb edition crossfire,ati all-in-wonder x800 xt
radeon r9 380x xfx double dissipation xxx oc 4gb edition,amd radeon hd 8510 oem
radeon r9 390,nvidia geforce 8600m gt mac edition
radeon r9 390 club3d royalqueen oc 8gb edition,ati radeon x1300 le
radeon r9 380x sapphire nitro 4gb edition,amd radeon hd 6650a
radeon r9 380x his iceq x² turbo 4gb edition,nvidia geforce 940mx
radeon r9 390 asus directcu ii 8gb edition,nvidia geforce 7650 gs
radeon r9 380x his iceq x² oc 4gb edition,intel gma 3150
radeon r9 380x powercolor pcs+ myst. 4gb edition,ati firegl v7200
radeon r9 380x gigabyte gaming g1 4gb edition,nvidia geforce gtx 645 oem
radeon r9 380x asus directcu ii strix gaming 4gb edition,amd radeon rx 6700
radeon r9 380x,nvidia geforce 7900 gtx
radeon r9 380 sapphire itx compact oc 2gb edition,nvidia geforce gtx 660
radeon r9 380x asus directcu ii oc strix gaming 4gb edition,nvidia quadro t2000 mobile
radeon r9 380 xfx double dissipation 4gb edition,nvidia geforce 7800 gs+ 20pipes agp
radeon r9 380 powercolor pcs+ 2gb edition,ati radeon x850 xt agp
radeon r9 380 powercolor pcs+ 4gb edition,intel hd graphics
radeon r9 380 sapphire nitro 4gb edition,amd radeon rx 570x
radeon r9 380 his iceq x² oc 4gb edition,nvidia geforce 6800 gt
radeon r9 380 sapphire dual-x oc 2gb edition,nvidia geforce gt 425m
radeon r9 380 msi oc 2gb edition,sony playstation vita gpu
radeon r9 380 msi gaming 4gb edition,amd radeon r7 m465
radeon r9 380 his iceq x² 4gb edition,ati radeon 7200
radeon r9 380 gigabyte windforce 2x oc (rev 1.0) 2gb edition,ati mobility radeon 9000
radeon r9 380 msi gaming 2gb edition,nvidia geforce gtx 480
radeon r9 380 crossfire,amd radeon hd 7450 oem
radeon r9 380 gigabyte g1 gaming 4gb edition,intel gma 3650
radeon r9 380 (oem),ati mobility radeon x600 se
radeon r9 380 club3d royalqueen oc 4gb edition,ati mobility radeon 9000
radeon r9 380 asus directcu ii oc strix gaming 2gb edition,nvidia quadro k2000m
radeon r9 370 (oem),amd radeon instinct mi6
radeon r7 370 sapphire nitro 4gb edition crossfire,amd radeon hd 8310g igp
radeon r9 370x,intel iris pro graphics 6200
radeon r9 380,amd radeon r5 m315
radeon r7 370 sapphire nitro 2gb edition,ati firemv 2400 pci
radeon r7 370 msi gaming 4gb edition crossfire,nvidia geforce gt 440 oem
radeon r7 370 sapphire dual-x oc 2gb edition,intel gma 3000
radeon r7 370 sapphire nitro 4gb edition,ati mobility firegl v3200
radeon r7 370 msi oc 2gb edition,nvidia tesla v100 dgxs 16 gb
radeon r7 370 powercolor pcs+ 2gb edition,amd radeon hd 7640g igp
radeon r9 380 asus directcu ii oc strix gaming 4gb edition,ati radeon hd 3450 pci
radeon r7 370 msi gaming 4gb edition,nvidia tesla k20xm
radeon r9 360 (oem),nvidia quadro p600
radeon r7 370 msi gaming 2gb edition,nvidia geforce 910m
radeon r7 370 crossfire,amd radeon r5 m330
radeon r7 370 asus directcu ii oc strix gaming 4gb edition,nvidia geforce 820m
radeon r7 360x [not released],nvidia quadro 600
radeon r7 370 gigabyte windforce 2x oc (rev 1.0) 2gb edition,amd xbox series x gpu
radeon r7 370 asus directcu ii oc strix gaming 2gb edition,intel uhd graphics 610
radeon r7 370,ati mobility radeon hd 5830
radeon r7 360 v2 sapphire nitro 2gb edition,ati mobility radeon x1800
radeon r7 360 v3,nvidia geforce 7300 gs
radeon r7 360 xfx double dissipation best buy 2gb edition,ati radeon hd 4830
radeon r7 360 v2 msi oc 2gb edition,nvidia geforce rtx 2080 ti
radeon r7 360 xfx double dissipation 2gb edition,amd radeon hd 6850 1440sp edition
radeon r7 360 v2 powercolor oc 2gb edition,ati radeon hd 3610
radeon r7 360 xfx core 2gb edition,amd radeon hd 6530d igp
radeon r7 360 v2 his icooler 2gb edition,nvidia geforce 7025 + nforce 630a
radeon r7 360 sapphire oc 2gb edition,nvidia geforce fx 5700 ep
radeon r7 360 v2 gigabyte oc 2gb edition,ati radeon x1550 agp
radeon r7 360 crossfire,amd firepro m3900
radeon r7 360 his green icooler oc 2gb edition,amd radeon hd 8670d igp
radeon r7 360 v2 asus oc 2gb edition,nvidia geforce gts 450
radeon r7 340 (oem),ati radeon x1300
radeon r7 360 v2,nvidia geforce gtx 870m
radeon r5 340 (oem),nvidia geforce gtx 960a
radeon r5 330 (oem),nvidia quadro p2200
radeon r7 360,nvidia geforce 8500 gt
radeon r7 350 [not released],nvidia geforce gtx 680m
radeon r9 290x xfx black edition,nvidia geforce gtx 970
radeon pro duo 8gb [not released],amd radeon rx 5600 xt
radeon r9 290x sapphire vapor-x 8gb edition,nvidia quadro fx 3500m
radeon r9 290x sapphire vapor-x tri-x oc 4gb edition,ati radeon hd 2400 pro agp
radeon r9 290x powercolor pcs+ 4gb edition crossfire,nvidia geforce gt 520mx
radeon r9 290x sapphire tri-x oc edition,ati all-in-wonder radeon 8500dv
radeon r7 350 (oem),ati radeon hd 5770 mac edition
radeon r9 290x powercolor pcs+ 4gb edition,amd radeon pro vega 48
radeon r9 290x powercolor oc edition,amd radeon hd 7560g igp
radeon r9 290x msi lightning edition,amd radeon r5 a320
radeon r9 290x msi gaming edition crossfire,nvidia geforce 7950 gt
radeon r9 290x msi gaming edition,nvidia geforce gtx 980m
radeon r9 290x gigabyte windforce 3x oc edition crossfire,ati radeon 3100 mobile igp
radeon r9 290x msi gaming 8gb edition,ati radeon hd 4870 x2
radeon r9 290x club3d royalking edition,nvidia quadro m3000 se
radeon r9 290x crossfire,intel hd graphics p630
radeon r9 290x asus directcu ii oc edition crossfire,nvidia tesla v100 sxm2 16 gb
radeon r9 290x asus directcu ii oc edition,amd radeon r7 m270dx
radeon r9 290x gigabyte windforce 3x oc edition,nvidia geforce gtx 570 rev. 2
radeon r9 290x,amd radeon 520 mobile
radeon r9 290x asus rog matrix platinum edition,nvidia geforce gtx 780m mac edition
radeon r9 290 xfx black edition,amd radeon r7 435 oem
radeon r9 290x asus directcu ii edition,nvidia quadro nvs 300m
radeon r9 290 sapphire vapor-x oc edition,nvidia quadro t1000 mobile gddr6
radeon r9 290 xfx double dissipation edition,nvidia quadro p6000
radeon r9 290 vtx3d x-edition,amd radeon r9 m275x
radeon r9 290 sapphire tri-x oc edition,nvidia geforce gt 330m
radeon r9 290 powercolor oc edition,ati radeon 9000
radeon r9 290 msi gaming edition,amd radeon r6 m255dx
radeon r9 290 sapphire tri-x oc edition crossfire,nvidia jetson xavier nx gpu
radeon r9 290 sapphire bf4 edition,nvidia nvs 300
radeon r9 290 powercolor pcs+ edition,ati radeon 9200 se pci
radeon r9 290 gigabyte windforce 3x oc edition crossfire,nvidia quadro4 200 nvs
radeon r9 290 gigabyte windforce 3x oc edition,ati radeon hd 3450 agp
radeon r9 290 club3d royalace 4gb edition,ati mobility radeon hd 565v
radeon r9 290 club3d royalking 4gb edition,amd radeon r7 240
radeon r9 290 asus directcu ii oc edition,3dfx voodoo4-2 4200 agp
radeon r9 285 sapphire itx compact oc 2gb edition,nvidia quadro p4000 max-q
radeon r9 285 xfx double d 2gb edition,nvidia geforce 9800 gt
radeon r9 290 crossfire,intel gma 900
radeon r9 285 sapphire dual-x 2gb edition,nvidia quadro4 500 xgl
radeon r9 290,amd radeon hd 6570m
radeon r9 285 sapphire itx compact 2gb edition,nvidia geforce gtx 460 oem
radeon r9 285 sapphire dual-x oc 2gb edition,nvidia geforce gt 630m
radeon r9 285 club3d royalqueen 2gb edition,amd radeon hd 6670a
radeon r9 285 powercolor turboduo oc 2gb edition,amd radeon vega 3 mobile
