GPUname,GPUname.1
radeon r7 7800,nvidia geforce gtx 1060 6 gb gddr5x
firestream 9250,intel iris pro graphics 5200
radeon r7 7600,nvidia geforce gtx 950m mac edition
radeon r7 7600p,amd radeon hd 6990
radeon r7 7670k,nvidia geforce gt 740m
radeon r7 7650k,ati radeon x300 se hypermemory
radeon r3 5150,nvidia geforce 6600 ve
radeon hd 8670d,amd radeon r5 a240
radeon r5 7400k,nvidia quadro 4100
radeon r3 5350,nvidia geforce 310m
radeon hd 8650d,nvidia tesla t10 processor
radeon hd 8570d,nvidia quadro m520 mobile
radeon hd 8550d,intel gma x3500
radeon hd 8470d,ati mobility radeon hd 3870
radeon hd 6690d2,nvidia geforce4 ti 4200-8x
radeon hd 7660d,nvidia geforce 810m
radeon hd 7540d,intel hd graphics 6000
radeon hd 7560d,nvidia geforce rtx 2080 super
radeon hd 6610d2,ati mobility radeon x1600 mac edition
radeon hd 8370d,amd radeon hd 6630m
radeon hd 7480d,amd radeon r5 330 oem
radeon hd 6370d,nvidia geforce 8400 gs
radeon hd 6410d,amd radeon hd 7730m
radeon hd 2400 xt,amd radeon hd 7670a
radeon hd 6550d,amd radeon hd 7310 igp
radeon hd 2400 pro pci-e,ati radeon x1950 pro dual
radeon hd 2600 pro,ati firegl 8800
radeon hd 2400 series,amd firepro s9100
radeon hd 2400 pro,amd radeon hd 6650m
radeon hd 2400 msi pro 256mb gddr2,amd radeon hd 7570m
radeon hd 2100,amd firepro w4300
radeon hd 4890 sapphire vapor-x oc 1gb edition,amd radeon vega 10 mobile
radeon hd 6530d,nvidia geforce 820a
radeon hd 4890 sapphire toxic atomic 1gb edition,ati radeon x740 xl
radeon hd 2350 pro,nvidia geforce rtx 2060 max-q
radeon hd 4890 sapphire oc 1gb edition,ati mobility radeon x700 xl
radeon hd 4870 x2,ati radeon x1800 crossfire edition
radeon hd 4890 sapphire toxic 1gb edition,amd radeon r7 m380
radeon hd 4870 sapphire vapor-x 1gb edition,nvidia geforce mx110
radeon hd 4890,nvidia nvs 510
radeon hd 4870,amd radeon hd 7570
radeon hd 4870 powercolor pcs+ 512mb edition,nvidia geforce 9800m gt
radeon hd 4850x2,nvidia geforce 7000m + nforce 610m
radeon hd 4850 sapphire vapor-x edition,nvidia quadro fx 4600
radeon hd 4860,nvidia geforce 7050 pv + nforce 630a
radeon hd 4850 golden sample edition,amd radeon hd 7770 ghz edition
radeon hd 4850 his icooler iv 1gb edition,ati mobility radeon 9000 igp
radeon hd 4850 gigabyte 512mb edition,nvidia geforce 8800m gtx
radeon hd 4850 gigabyte oc edition,ati radeon hd 5570
radeon hd 4850,nvidia geforce gt 640m le
radeon hd 4830 512mb,ati radeon 9100 pci
radeon hd 4830 his fan 512mb edition,ati mobility radeon hd 2300
radeon hd 4670 his iceq 1gb edition,ati mobility radeon hd 5430
radeon hd 4770 512mb,amd radeon e6465
radeon hd 4730,ati radeon xpress 1270 mobile igp
radeon hd 4730 powercolor pcs edition,ati radeon hd 3870 agp
radeon hd 4750,sony playstation portable gpu 90nm
radeon hd 4670 gigabyte 1gb edition,amd radeon r4 mobile graphics
radeon hd 4670 agp,amd radeon r5 graphics
radeon hd 4670 asus 512mb edition,nvidia quadro m4000
radeon hd 4650 v2,nvidia geforce gtx 1050 ti
radeon hd 4650 1gb,nvidia geforce mx350
radeon hd 4670 1gb,nvidia quadro4 700 go gl
radeon hd 4350 asus silent 512mb edition,ati firegl v7600
radeon hd 4650,intel xeon phi 7120x
radeon hd 4650 asus low profile edition,nvidia quadro nvs 160m
radeon hd 4550,nvidia geforce gts 150m
radeon hd 4350 1gb,xgi volari v8
radeon hd 4550 v2,nvidia quadro m5000
radeon hd 4670 512mb,ati radeon hd 3750
radeon hd 4350,amd radeon r5 a230
radeon hd 4250,nvidia geforce 9200
radeon hd 4290,amd radeon hd 7450m
geforce gt 140,nvidia quadro fx 3800m
geforce gt 130,nvidia jetson agx xavier gpu
geforce gt 120,intel gma x3100
radeon hd 4200,intel uhd graphics p630
radeon hd 3870 x2,amd radeon r3 mobile graphics
radeon hd 3870,nvidia quadro4 550 xgl
radeon hd 3850 x2,nvidia geforce 605 oem
radeon hd 3830,ati mobility radeon hd 2600
radeon hd 3690,amd radeon hd 7600g igp
radeon hd 3800 series,amd radeon hd 6970m
geforce g 100,ati radeon hd 5450 pcie x1
radeon hd 3850,ati gamecube gpu
radeon hd 3650,nvidia geforce gt 710 pcie x1
radeon hd 3600 series,nvidia geforce gtx 860m
radeon hd 3470,nvidia quadro2 pro
radeon hd 3850 agp,nvidia geforce4 448 go
radeon hd 3400 series,nvidia geforce gtx 1650 gddr6
radeon hd 3850 x3,nvidia geforce 9650m gt
radeon hd 3450,amd radeon hd 6320 igp
radeon hd 3200 igp,nvidia geforce 315 oem
radeon hd 3300,ati radeon hd 3850 x3
radeon hd 3200,nvidia geforce 805a
radeon 3000,amd radeon rx 6600m
iris pro graphics 6200 mobile,nvidia geforce 9800 gt
iris graphics 6100 mobile,xgi volari 8600 xt
iris pro graphics 5200 mobile,intel iris graphics 550
hd pentium 4405u,nvidia geforce gt 335m
intel gs45 express chipset,ati firegl v3350
iris graphics 550 mobile,amd firepro s10000 passive 12gb
radeon r9 m295x 4gb,amd radeon hd 7620g igp
radeon r9 m395x 4gb,nvidia geforce2 mx + nforce 220
radeon r9 m390 4gb,nvidia geforce gtx 980 ti
hd i7 m640,amd radeon pro duo
radeon r9 m485x 4gb,amd radeon pro 5500m
radeon r9 m390x 4gb,nvidia geforce 9400m
radeon r9 m290x crossfire,amd radeon r3e mobile graphics
hd i3 m350,intel iris plus graphics 650
radeon hd 7290,ati radeon hd 4650 agp
mobility radeon hd 5870 crossfire,nvidia geforce 315m
mobility radeon hd 565v,nvidia geforce gtx 260 rev. 2
mobility radeon hd 5870,nvidia geforce rtx 3050
mobility radeon hd 5850,ati radeon 7500 mac edition
mobility radeon hd 5830,nvidia geforce gtx 965m
radeon r9 m290x,intel iris graphics 6100
mobility radeon hd 5730,amd radeon rx 5300m
mobility radeon hd 5770,nvidia geforce g102m
mobility radeon hd 5650,amd firepro s9170
mobility radeon hd 5470,nvidia geforce gtx 980 mobile
mobility radeon hd 560v,nvidia geforce gtx 1650 ti mobile
mobility radeon hd 550v,ati radeon 9550 xt
mobility radeon hd 545v,amd radeon hd 6625m
mobility radeon hd 5470 512mb,nvidia geforce gt 520 oem
mobility radeon hd 530v,nvidia geforce mx350
radeon hd 8970m crossfire,amd radeon vega 8 embedded
mobility radeon hd 5145,nvidia geforce g210 oem rev. 2
mobility radeon hd 5450,ati radeon 9800 pro maxx
radeon hd 8970m,ati radeon 9800 se
mobility radeon hd 540v,nvidia quadro fx 570m
mobility radeon hd 5165,nvidia geforce gt 630 rev. 2
mobility radeon hd 5430,ati radeon x800 gt
mobility radeon hd 5750,amd radeon hd 7510 oem
radeon hd 8870m,amd radeon r7 370
radeon hd 8850m v2,ati firemv 2250 pcie x1
radeon hd 8790m,ati radeon hd 5450
radeon hd 8830m,nvidia geforce mx330
radeon hd 8770m,amd radeon r3 mobile graphics
radeon hd 8850m,amd radeon vega 8 embedded
radeon hd 8750m,intel hd graphics
radeon hd 8690m,3dfx voodoo5 5500 pci
radeon hd 8730m,nvidia geforce 6600 gt dual
radeon hd 8750m v2,amd radeon r9 290x
radeon hd 8670m,amd radeon r9 270
radeon hd 8570m,amd radeon rx 5700 xt
radeon hd 8550m,nvidia nvs 3100m
radeon hd 8670m 2gb,ati radeon ddr maxx
radeon hd 6970m,nvidia quadro nvs 440
radeon hd 8400,nvidia grid k260q
radeon hd 6950m,nvidia geforce 9300 + nforce 730i
